FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,CR_EN_NM,CR_FR_NM,OP_ATH_AVLBL_AMT,OP_ATHRTY_CY_AMT,CP_ATH_AVLBL_AMT,CP_ATHRTY_CY_AMT,TP_ATH_AVLBL_AMT,TP_ATHRTY_CY_AMT,RVN_ATH_AVLBL_AMT,RVN_ATHRTY_CY_AMT,NB_ATH_AVLBL_AMT,NB_ATHRTY_CY_AMT
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Sector Risk,Risques du secteur,57276246,54432298,4195412,4178861,2253157710,2242338444,1000000,363620,-1525336,-1525336
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Science and Innovation,Science et innovation,466018025,448709230,56391718,49788014,417948710,346363096,25000000,15258430,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Domestic and International Markets,Marchés nationaux et internationaux,107429854,94200150,1481300,1127791,715695740,688573709,8418454,8326826,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Internal Services,Services internes,281401223,278534527,4420000,4312829,0,0,28000000,25168674,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Farm Credit Canada,Financement agricole Canada,Farm Credit Canada,Financement agricole Canada,0,0,0,0,0,0,0,0,61076667000,-1458333000
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,134,Canadian Dairy Commission,Commission canadienne du lait,Canadian Dairy Commission,Commission canadienne du lait,5375706,5375706,0,0,0,0,0,0,500000000,13214240
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,133,Canadian Grain Commission,Commission canadienne des grains,Grain Regulation,Réglementation des grains,128037747,51421623,0,0,0,0,39349312,50970583,0,0
2023/2024,02,Agriculture and Agri-Food,Agriculture et Agroalimentaire,133,Canadian Grain Commission,Commission canadienne des grains,Internal Services,Services internes,74790230,24890877,0,0,0,0,26281901,21861,0,0
2023/2024,01,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Ecomonic Development in Atlantic Canada,Développement économique au Canada atlantique,55482554,50379489,0,0,437992095,396798949,0,0,0,0
2023/2024,01,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Internal Services,Services internes,33177170,31252148,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,"Creativity, Arts and Culture","Créativité, arts et culture",58890265,57466354,0,0,630707778,630428351,7129950,7129950,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Official Languages,Langues officielles,24263265,24011273,0,0,582681701,581619965,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Diversity and Inclusion,Diversité et inclusion,31324503,30090816,0,0,315468969,278690523,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Sport,Sport,17949282,17837815,0,0,265863422,264902655,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Heritage and Celebration,Patrimoine et célébrations,61618836,60232511,0,0,111494315,111171940,794785,794785,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Internal Services,Services internes,111341303,106434969,0,0,0,0,2501136,2501136,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canada Council for the Arts,Conseil des Arts du Canada,Canada Council for the Arts,Conseil des Arts du Canada,369463611,369338611,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Broadcasting Corporation,Société Radio-Canada,Canadian Broadcasting Corporation,Société Radio-Canada,1344238531,1344113531,110046000,110046000,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum for Human Rights,Musée canadien des droits de la personne,Canadian Museum for Human Rights,Musée canadien des droits de la personne,28859366,28794533,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum of History,Musée canadien de l'histoire,Canadian Museum of History,Musée canadien de l'histoire,85628749,85563916,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,Canadian Museum of Immigration at Pier 21,Musée canadien de l'immigration du Quai 21,10060894,10060894,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Museum of Nature,Musée canadien de la nature,Canadian Museum of Nature,Musée canadien de la nature,32381178,32316345,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,Canadian Race Relations Foundation,Fondation canadienne des relations raciales,Canadian Race Relations Foundation,Fondation canadienne des relations raciales,9000000,9000000,0,0,0,0,0,0,0,0
2023/2024,04,Canadian Heritage,Patrimoine canadien,135,National Arts Centre Corporation,Société du Centre national des Arts,National Arts Centre Corporation,Société du Centre national des Arts,67273340,66359661,0,0,0,0,0,0,0,0
