Ministry_name-Portefeuilleministériel_nom,Other-than-budgetary-expenditures_Autres-que-depenses-budgetaires,EntityDept_name_fra-EntitéMin_nom_fra,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_code_PROG,ProgramorCoreResponsibility_name-ProgrammeouResponsabilitéessentielle_nom_PROG,ProgramorCoreResponsibility-ProgrammeouResponsabilitéessentielle_description_PROG,ProgramInventory-Répertoiredesprogrammes_code_PROG,ProgramInventory_name-Répertoiredesprogrammes_nom_PROG,ProgramInventory-Répertoiredesprogrammes_description_PROG,Notes,Department_specific-Particulier_au_ministère
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN01","Croissance du commerce et des marchés","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN02","Mobilisation et développement du secteur","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN03","Conseil des produits agricoles du Canada","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN04","Programmes laitiers","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN05","Agence canadienne du pari mutuel","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN06","Infrastructure hydraulique","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN07","Programmes à frais partagés fédéral, provinciaux et territoriaux reliés aux marchés et au commerce","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWN00","Marchés nationaux et internationaux","Agriculture et Agroalimentaire Canada fournit des programmes et des services et travaille en collaboration avec le secteur pour soutenir sa compétitivité au pays et à l'étranger. Agriculture et Agroalimentaire Canada travaille également à accroître les possibilités pour le secteur d'exporter ses produits en maintenant et en élargissant l'accès aux marchés et en faisant avancer les intérêts agricoles à l'échelle internationale.","BWN08","Pâturages communautaires","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.","BWO01","Science et recherche fondamentales","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
"Agriculture et Agroalimentaire",,"Agriculture et de l'Agroalimentaire (Ministère de l')","BWO00","Science et innovation","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs.","BWO02","Agri-science","","","001 - Agriculture et de l'Agroalimentaire (Ministère de l')"
