"org_id","dept_id","pop_id","abbr_en","legal_title","applied_title","old_applied_title","description_en","min_port_en","min_1","min_2","min_3","inst_struct_en","start","end_fin","status","enabling_instr","FAA_LRC_inst","FAA_LRC_HR_RH","auditor","fed_rep_en","notes_en","website"
1,"AGR","AGR","AAFC","Department of Agriculture and Agri-Food","Agriculture and Agri-Food Canada",,"The Department of Agriculture and Agri-Food (AAFC) was created in 1868 —  one year after Confederation — because of the importance of agriculture  to the economic, social and cultural development of Canada. Today, the  Department helps create the conditions for the long-term profitability,  sustainability and adaptability of the Canadian agricultural sector.  AAFC supports the sector through initiatives that promote innovation and  competitiveness, and that proactively manage risk. The Department’s goal  is to position agriculture, agri-food and agri-based product industries  to realize their full potential by seizing new opportunities in the growing domestic and global marketplace.    The Minister of Agriculture and Agri-Food is responsible for this organization.","Agriculture and Agri-Food",,,,"Ministerial Departments",1994,,"a","Department of Agriculture and Agri-Food Act, R.S.C. 1985, c. A-9","I",,,,,"www.agr.gc.ca"
1,"AGR","AGR","AAFC","Department of Agriculture and Agri-Food","Agriculture and Agri-Food Canada",,"The Department of Agriculture and Agri-Food (AAFC) was created in 1868 —  one year after Confederation — because of the importance of agriculture  to the economic, social and cultural development of Canada. Today, the  Department helps create the conditions for the long-term profitability,  sustainability and adaptability of the Canadian agricultural sector.  AAFC supports the sector through initiatives that promote innovation and  competitiveness, and that proactively manage risk. The Department’s goal  is to position agriculture, agri-food and agri-based product industries  to realize their full potential by seizing new opportunities in the growing domestic and global marketplace.    The Minister of Agriculture and Agri-Food is responsible for this organization.","Agriculture and Agri-Food",,,,"Ministerial Departments",1994,,"a","Department of Agriculture and Agri-Food Act, R.S.C. 1985, c. A-9","I",,,,,"www.agr.gc.ca"
2,"HC","HOC","HC","House of Commons",,,"The House of Commons is where Members of Parliament – the men and women elected by Canadians to represent them in our national legislature – come together to make laws, hold government to account and decide the affairs of the country.","Parliament",,,,"Parliamentary Entities",1867,,"a","Parliament of Canada Act, R.S.C., 1985, c. P-1",,,,,,"www.parl.gc.ca"
4,,,,"Aboriginal Healing Foundation",,,"The Foundation was created in response to the Royal Commission on Aboriginal Peoples to address the healing needs of Aboriginal people affected by the legacy of Indian Residential Schools, including intergenerational effects. The Foundation fulfills its mandate primarily through the financial support of healing projects and healing centres across Canada. The Foundation has also published several research projects concerning the Indian Residential School experience, reconciliation, healing, the impacts of lump-sum payments, and other related issues. In addition, the Foundation contributes to public education about Indian Residential Schools and their impacts. On March 31, 2010, funding for 134 healing projects ended. Funding for twelve healing projects will continue until March 31, 2012. As part of its wind-down strategy, the Foundation will fulfill the remaining work of its mandate, which includes the publication of annual reports, corporate plans, newsletters, and the production of five more major research projects.",,,,,"Shared-Governance Corporations",1998,2013,"d","Incorporated through the Funding Agreements with the Government of Canada",,,,,,
5,,,,"Aéroport de Québec Inc.",,,"To manage, operate, and develop the airport.","Transport",,,,"Shared-Governance Corporations",2000,,"a","Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)",,,"Raymond Chabot Grant Thornton LLP","2/15 board members",,"www.aeroportdequebec.com"
5,,,,"Aéroport de Québec Inc.",,,"To manage, operate, and develop the airport.","Transport",,,,"Shared-Governance Corporations",2000,,"a","Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)",,,"Raymond Chabot Grant Thornton LLP","2/15 board members",,"www.aeroportdequebec.com"
6,,,,"Aéroports de Montréal",,,"To manage, operate, and develop the airports.","Transport",,,,"Shared-Governance Corporations",1992,,"a","Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)",,,"KPMG LLP","2/15 board members",,"www.admtl.com"
6,,,,"Aéroports de Montréal",,,"To manage, operate, and develop the airports.","Transport",,,,"Shared-Governance Corporations",1992,,"a","Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)",,,"KPMG LLP","2/15 board members",,"www.admtl.com"
7,,,,"African Development Bank",,,"The African Development Bank (AFDB) has a mandate to contribute to the sustainable economic development and social progress of its regional members individually and jointly.","Global Affairs",,,,"International Organizations",1964,,"a","Articles of Agreement of the African Development Bank, 1963; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",,,"KPMG LLP","3.9% ownership",,"www.afdb.org"
7,,,,"African Development Bank",,,"The African Development Bank (AFDB) has a mandate to contribute to the sustainable economic development and social progress of its regional members individually and jointly.","Global Affairs",,,,"International Organizations",1964,,"a","Articles of Agreement of the African Development Bank, 1963; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",,,"KPMG LLP","3.9% ownership",,"www.afdb.org"
