"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN01","Trade and Market Expansion",53119534.00,58764607.74,53070065.00,53058438.00,185.00,191.00,185.00,185.00,,"Actual spending was greater than planned spending as uptake under the International Collaboration program and Agri-Marketing program has been high."
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN02","Sector Engagement and Development",30487876.00,35121301.31,30433433.00,30420664.00,185.00,181.00,185.00,185.00,,"Actual spending was greater than planned spending as uptake under the Youth Employment and Skills Strategy program has been high."
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN03","Farm Products Council of Canada",3057678.00,2855295.43,3058259.00,3058259.00,22.00,19.00,22.00,22.00,,"Actual full-time equivalents were lower than planned due to temporary vacant positions within the organization in 2019–20. Farm Products Council of Canada is anticipating twenty-two full-time equivalents once the vacant positions are filled in 2020–21."
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN04","Dairy Programs",83262048.00,428208030.88,78292048.00,49951500.00,50.00,49.00,50.00,37.00,"The decrease in planned spending in 2020-21 is due to a planned reduction in investments in the dairy sector. The decrease in 2021-22 is due to the expiry of the Dairy Processing Investment Fund at the end of 2020-21.

The decrease in full-time equivalents in 2021-22 is due to the planned reduction of investments in the dairy sector.","Actual spending was greater than planned spending due to support for the new Dairy Direct Payment Program, as announced in Budget 2019."
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN05","Canadian Pari-Mutuel Agency",-280.00,225726.16,194300.00,250809.00,31.00,35.00,31.00,31.00,"The Canadian Pari-Mutuel Agency is not funded through an appropriation of public funds but rather through a levy on all money bet in Canada on horse racing. Therefore, the revenue and actual spending each year will vary.","The Canadian Pari-Mutuel Agency is not funded through an appropriation of public funds but rather through a levy on all money bet in Canada on horse racing. Therefore, the revenue and actual spending each year will vary. 

Actual full-time equivalents were greater than planned in 2019-20, for a short period, to better manage operational work load as well as some overlap with full-time equivalents that retired or were on leave.  The full-time equivalent count in 2020-21 is back to 2018-19 levels."
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN06","Water Infrastructure",3387463.00,3867939.20,3383315.00,3383315.00,37.00,34.00,37.00,37.00,,"Actual spending was greater than planned spending primarily due to the transfer of federal canal infrastructure to the Government of Saskatchewan."
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN07","Federal, Provincial and Territorial Cost-shared Markets and Trade",63061743.00,66817899.91,63061743.00,63061743.00,4.00,4.00,4.00,4.00,,
"2019-2020",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN09","Food Policy Initiatives",,26563247.78,,,,6.00,,,,
"2019-2020",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO01","Foundational Science and Research",338014587.00,366089881.92,336804384.00,333608884.00,2495.00,2408.00,2496.00,2475.00,,"Actual full-time equivalents were lower than planned primarily due to a higher than expected rate of attrition and time required to staff positions."
"2019-2020",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO02","AgriScience",85638280.00,78599953.44,85549626.00,85526992.00,157.00,188.00,157.00,157.00,,"Actual full-time equivalents were greater than planned due to staffing required to support research priorities, including the Advancing Agricultural Discovery Science and Innovation Initiative as announced in Budget 2017."
"2019-2020",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO03","AgriInnovate",25233852.00,25416329.73,25233852.00,25233852.00,21.00,20.00,21.00,21.00,,
"2019-2020",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO04","Agricultural Greenhouse Gases Program",5622234.00,6388232.24,5621993.00,5621993.00,11.00,8.00,11.00,11.00,,"This program was renewed in 2016-17. It was anticipated that the core project activities would occur in the second, third and fourth years of the program, and 2019-20 was the fourth year of the program. Based on the structure of the program, most recipients required most of their funding for their research activities, in years three and four of the program. Funding was reallocated between programs to meet the demand of this program in fiscal year 2019-20.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO05","Canadian Agricultural Strategic Priorities Program",9554247.00,1720945.88,11057981.00,11057981.00,12.00,9.00,12.00,12.00,"The planned spending is lower in 2019-20 due to an internal reallocation of resources to support the Innovative Solutions Canada Program.","Actual spending was lower than planned spending due to lower than expected applications received and approval rate. 2019-20 was the first year under the Canadian Agricultural Strategic Priorities Program, with only three signed projects with funding in 2019-20. Funding was reallocated between programs to further support projects that were in demand and considered key priorities.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO06","Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",123066003.00,112132818.01,124566003.00,114681743.00,15.00,17.00,15.00,11.00,"The decrease in full-time equivalents in 2021-22 reflects the expiry of the Agricultural Clean Technology Program.",
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP01","AgriStability",441642647.00,207482794.59,441669706.00,441669706.00,159.00,156.00,159.00,159.00,,"AgriStability is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the variance of year-to-year grant and contribution payments is directly related to participation and industry conditions. Actual spending for the AgriStability program was lower than planned spending due to a decrease in demand and participation in the program."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP02","AgriInvest",152249832.00,167887164.56,152249832.00,152249832.00,122.00,125.00,122.00,122.00,,"AgriInvest is demand-driven and the variance from year-to-year in grant and contribution expenditures is directly related to both participation and commodity prices. Producer deposits and government contributions are based on a percentage of income generated from the sale of commodities for a production period (Allowable Net Sales).
Actual spending for the AgriInvest program was more than planned spending due to greater participation and/or stronger sector performance than expected."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP03","AgriRecovery",124204796.00,10105135.32,124204796.00,124204796.00,3.00,4.00,3.00,3.00,,"AgriRecovery is demand-driven. Spending under the framework varies from year-to-year depending on the need for disaster response initiatives. Actual spending was less than planned spending due to a reduced requirement for program support. Only two initiatives were implemented in 2019-20, namely the 2018 British Columbia Bovine Tuberculosis and Prince Edward Island Fall Harvest Recovery Initiative.

Actual full-time equivalents were greater than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP04","AgriInsurance",627580988.00,670139060.87,627615805.00,627615805.00,19.00,23.00,19.00,19.00,,"Actual full-time equivalents were greater than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP05","AgriRisk",11951715.00,6299151.77,11951715.00,11951715.00,11.00,7.00,11.00,11.00,,"AgriRisk was a new program in fiscal year 2018-19. There were only four Administrative Capacity Building Stream projects signed and no Research and Development projects. As a result of low uptake, program communications and priorities were revised to improve alignment of projects with objectives. Although uptake was still low in fiscal year 2019-20, there were more applications received and more projects signed in 2019-20, than in the previous year.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP06","Loan Guarantee Programs",86694925.00,69050511.21,86712452.00,86712452.00,34.00,30.00,34.00,34.00,,"Actual spending was lower than planned spending due to the current low interest rates, lower than expected participation in the _Canadian Agricultural Loans Act_ program and a stay of default resulting in lower loan guarantee payments under the _Agricultural Marketing Programs Act_ program.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP07","Farm Debt Mediation Service",1760080.00,3254506.34,1760080.00,1760080.00,15.00,14.00,15.00,15.00,,"Farm Debt Mediation Services is a demand-driven program based on participants' individual financial situations and whether or not they seek mediation services."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP08","Pest Management",11979709.00,10244693.54,12035404.00,12035404.00,60.00,58.00,60.00,60.00,,"Actual spending was lower than planned spending primarily due to a realignment among programs in response to shifting priorities."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP09","Assurance Program",15424941.00,13302711.37,15424941.00,15424941.00,17.00,19.00,17.00,17.00,,"Actual spending was lower than planned spending since some of the approved project activities were shifted from year two to subsequent years. The Assurance program also faced delays as a result of the COVID-19 pandemic.

Actual full-time equivalents were greater than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP10","Federal, Provincial and Territorial Cost-shared Assurance",33207486.00,32777258.97,33207486.00,33207486.00,8.00,7.00,8.00,8.00,,"Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2019-2020",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP11","Return of Payments",0.00,-12596151.89,0.00,0.00,0.00,0.00,0.00,0.00,"Return of Payments is used to record repayments to Agriculture and Agri-Food Canada for programs that have previously sunset.   The actual repayments will be reported at year end.

Full-time equivalents in support of this program are shared and are reported under other programs.","The $12.6 million is related to a return of funding from statutory grant and contribution programs that have expired and are not included in the current Program Inventory. This is primarily related to the Hog Industry Loan Loss Reserve program."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS01","Management and Oversight Services",39000441.00,42687762.88,38964600.00,38678874.00,299.00,306.00,299.00,299.00,,
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS02","Communications Services",11540848.00,12011664.89,11530241.00,11445690.00,98.00,93.00,98.00,98.00,,
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS03","Legal Services",2965903.00,5584105.17,2963177.00,2941448.00,9.00,5.00,9.00,9.00,,"Actual spending was greater than planned spending due to Bovine Spongiform Encephalopathy (BSE) Litigation costs.

Actual full-time equivalents were lower than planned due to delays/challenges in staffing vacant positions within the organization in 
2019–20. Legal Services is anticipating nine full-time equivalents once the vacant positions are filled in 2020–21."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS04","Human Resources Management Services",18612027.00,21958502.33,18594921.00,18458565.00,190.00,211.00,190.00,190.00,,"Actual spending was greater than planned spending reflecting support for service delivery improvements including resolving the issues and challenges related to the Phoenix pay system.

Actual full-time equivalents were greater than planned in order to support service delivery improvements including resolving the issues and challenges related to the Phoenix pay system."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS05","Financial Management Services",11936421.00,16229293.61,11925450.00,11838001.00,203.00,226.00,203.00,203.00,,"Actual spending was greater than planned spending reflecting support for service delivery improvements as well as the provision of support of the “SAP Solution”.

Actual full-time equivalents were greater than planned reflecting staffing to support service delivery improvements as well as the provision of support of the “SAP Solution”."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS06","Information Management Services",21130864.00,21488978.62,21111443.00,20956634.00,135.00,128.00,135.00,135.00,,
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS07","Information Technology Services",39027229.00,43142104.26,38991361.00,38705439.00,198.00,182.00,198.00,198.00,,"Actual spending was greater than planned spending primarily due to amounts carried forward from 2018-19 and increased investment in Information Technology."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS08","Real Property Management Services",4752878.00,12167931.05,4748510.00,4713689.00,42.00,51.00,42.00,42.00,,"Actual spending was greater than planned spending reflecting support for service delivery improvements, work on the Fixed Asset Review and modernization of the work place and agriculture science and technology initiatives.

Actual full-time equivalents were greater than planned to support service delivery improvements, work on the Fixed Asset Review and modernization of the work place and agriculture science and technology initiatives."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS09","Materiel Management Services",282679.00,251387.05,282420.00,280349.00,1.00,1.00,1.00,1.00,,"Actual spending was lower than planned spending primarily due to a realignment among programs."
"2019-2020",1,"Department of Agriculture and Agri-Food","Internal Services","ISS0Z","Acquisition Management Services",1413672.00,1689746.87,1412373.00,1402016.00,17.00,16.00,17.00,17.00,,"Actual spending was greater than planned spending primarily due to amounts carried forward from 2018-19 and a realignment among programs."
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED01","Inclusive Communities",26817706.00,35489825.87,26817706.00,26742156.00,32.00,32.00,32.00,32.00,,
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED02","Diversified Communities",72403118.00,62973843.26,72403118.00,72185334.00,81.00,74.00,81.00,81.00,,
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED03","Research and Development and Commercialization",45035034.00,46367397.71,36285034.00,35393702.00,41.00,57.00,41.00,41.00,,
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED04","Innovation Ecosystem",53166428.00,37865419.03,46916428.00,46825189.00,32.00,14.00,32.00,32.00,,
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED05","Business Growth",56720601.00,112150441.46,49920601.00,49728684.00,81.00,93.00,81.00,81.00,,
"2019-2020",12,"Atlantic Canada Opportunities Agency","Economic Development in Atlantic Canada","BED06","Trade and Investment",24099634.00,15237853.97,24023634.00,23896491.00,49.00,40.00,49.00,49.00,,
