"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN01","Trade and Market Expansion",53105701.00,52360723.82,53014508.00,53014508.00,171.00,183.00,171.00,171.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN02","Sector Engagement and Development",33331249.00,34247456.65,30455570.00,30455570.00,179.00,184.00,179.00,179.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN03","Farm Products Council of Canada",3048578.00,2520779.52,3048552.00,3048552.00,23.00,17.00,23.00,23.00,,"Actual spending was lower than planned spending mainly due to temporary vacant positions within the organization in 2018–19.

Actual full-time equivalents were lower than planned due to temporary vacant positions within the organization in 2018–19."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN04","Dairy Programs",94238832.00,99881679.91,83258832.00,78288832.00,36.00,46.00,37.00,37.00,,"Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN05","Canadian Pari-Mutuel Agency",0.00,-317141.62,-216000.00,-53000.00,31.00,31.00,31.00,31.00,,"The Canadian Pari-Mutuel Agency is not funded through an appropriation of public funds but rather through a levy on all money bet in Canada on horse racing. Therefore, the revenue and actual spending each year will vary."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN06","Water Infrastructure",3396591.00,38523974.13,3331601.00,3331601.00,34.00,36.00,34.00,34.00,,"Actual spending was more than planned spending primarily due to the transfer of federal canal infrastructure to the Government of Saskatchewan."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN07","Federal, Provincial and Territorial Cost-shared Markets and Trade",63061340.00,55780799.28,63061340.00,63061340.00,6.00,5.00,6.00,6.00,,"While provincial and territorial spending in the first year of the Partnership was lower than the planned spending, the majority of programs have been rolled out and continue to come online. Program uptake has varied across programs resulting in underspending in some areas and overspending in others. However, the federal-provincial-territorial funding allocations were respected.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN08","Community Pastures",0.00,-2313624.59,0.00,0.00,13.00,15.00,0.00,0.00,,"The Community Pastures program is funded through Vote-Netted Revenue. 

Actual full-time equivalents were higher than planned primarily to complete the work required for the winding down of the Community Pastures program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO01","Foundational Science and Research",342344234.00,363968493.59,317108329.00,316853610.00,2370.00,2404.00,2370.00,2370.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO02","AgriScience",86237926.00,62551943.75,85740482.00,85740482.00,186.00,175.00,186.00,186.00,,"Actual spending was less that planned spending as this was the first year of the Canadian Agricultural Partnership reflecting a ramping up of the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO03","AgriInnovate",25231185.00,27019057.88,25231185.00,25231185.00,21.00,20.00,21.00,21.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO04","Agricultural Greenhouse Gases Program",5627398.00,8325972.71,5618325.00,5618325.00,6.00,10.00,6.00,6.00,,"Funding was reallocated between programs to meet the demand of this program in fiscal year 2018-19.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO05","Canadian Agricultural Adaptation Program",11065503.00,4578843.84,11053778.00,11053778.00,6.00,10.00,6.00,6.00,,"Actual spending was lower than planned spending due to lower than expected applications received and approval rate. The Department undertook a program realignment exercise and relaunched the Canadian Agricultural Adaptation Program as the Canadian Agricultural Strategic Priorities Program, which has new priorities and allows more flexibility to fill programming gaps under the Canadian Agricultural Partnership. 

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load associated with relaunching of the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO06","Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment",119604220.00,94381816.16,124565180.00,124565180.00,11.00,14.00,11.00,11.00,,"While provincial and territorial spending in the first year of the Partnership was lower than the planned spending, the majority of programs have been rolled out and continue to come online. Program uptake has varied across programs resulting in underspending in some areas and overspending in others. However, the federal-provincial-territorial funding allocations were respected.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP01","AgriStability",441659248.00,227271746.68,441659248.00,441659248.00,157.00,153.00,157.00,157.00,,"AgriStability is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the variance of year-to-year grant and contribution payments is directly related to participation and industry conditions. Actual spending for the AgriStability program was lower than planned due to a decrease in demand and participation in the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP02","AgriInvest",169533572.00,185783723.46,152243572.00,152243572.00,131.00,127.00,131.00,131.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP03","AgriRecovery",124202488.00,1530264.37,124202488.00,124202488.00,2.00,3.00,2.00,2.00,,"AgriRecovery is demand-driven. Spending under the framework varies from year to year depending on the need for disaster response initiatives. Actual spending was less than planned spending due to a reduced requirement for program support. Only one initiative was implemented in 2018-19, namely the 2018 Canada-British Columbia Wildfires Recovery Initiative.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP04","AgriInsurance",627666415.00,667558395.98,627613665.00,627613665.00,21.00,19.00,21.00,21.00,,
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP05","AgriRisk",11951442.00,2903749.36,11951442.00,11951442.00,11.00,11.00,11.00,11.00,,"Actual spending was lower than planned spending as applications received were not aligned with the program objectives. Program communications and priorities were revised and projects which align with program objectives are now being approved."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP06","Loan Guarantee Programs",86710578.00,41352091.94,86701878.00,86701878.00,32.00,33.00,32.00,32.00,,"Actual spending was lower than planned spending due to the current low interest rates and lower participation in the Agricultural Marketing Programs Act program and the Canadian Agricultural Loans Act program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP07","Farm Debt Mediation Service",1790528.00,2856749.72,1758553.00,1758553.00,15.00,14.00,15.00,15.00,,"Farm Debt Mediation Services is a demand-driven program based on participants' individual financial situations and whether or not they seek mediation services."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP08","Pest Management",12040395.00,10530721.79,12021212.00,12021212.00,57.00,58.00,57.00,57.00,,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP09","Assurance Program",15422554.00,4466614.03,15422554.00,15422554.00,26.00,17.00,26.00,26.00,,"The timing of project approval resulted in associations not having enough time to undertake activities in the 2018-19 fiscal year. Approved project activities were shifted from year one to subsequent years. Unspent funding from 2018-19 has been requested to be carried forward to the following year.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
"FY 2018-19",1,"Department of Agriculture and Agri-Food","Sector Risk","BWP10","Federal, Provincial and Territorial Cost-shared Assurance",33206679.00,26880872.73,33206679.00,33206679.00,4.00,7.00,4.00,4.00,,"While provincial and territorial spending in the first year of the Partnership was lower than the planned spending, the majority of programs have been rolled out and continue to come online. Program uptake has varied across programs resulting in underspending in some areas and overspending in others. However, the federal-provincial-territorial funding allocations were respected.

Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
