"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN01","Trade and Market Expansion",54744520.00,49132118.39,54961384.00,55173362.00,190.00,190.00,190.00,190.00,,"Actual spending was lower than planned spending due to cancellations and postponements of activities caused by the COVID-19 pandemic."
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN02","Sector Engagement and Development",29962762.00,41521153.60,29984780.00,30007195.00,179.00,191.00,179.00,179.00,,"Actual spending was greater than planned spending as it reflects emergency support provided in response to COVID-19 under the Youth Employment and Skills Strategy program."
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN03","Farm Products Council of Canada",3105982.00,3124222.16,3115630.00,3118482.00,19.00,20.00,19.00,19.00,,
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN04","Dairy Programs",78275968.00,522110099.94,49941500.00,0.00,51.00,36.00,38.00,0.00,"The decreases in planned spending in 2021-22 and 2022-23 are due to the expiry of the Dairy Processing Investment Fund and the Dairy Farm Investment Program at the end of 2020-21 and 2021-22, respectively.

The decreases in full-time equivalents in 2021-22 and 2022-23 are due to the expiry of the Dairy Processing Investment Fund and the Dairy Farm Investment Program at the end of 2020-21 and 2021-22, respectively.","Actual spending was greater than planned spending due to support for the Dairy Direct Payment Program which was not reflected in Planned Spending due to the timing of approval.

Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including COVID-19."
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN05","Canadian Pari-Mutuel Agency",0.00,1368492.98,272188.00,547152.00,35.00,30.00,35.00,35.00,"The Canadian Pari-Mutuel Agency is not funded through an appropriation of public funds but rather through a levy on all money bet in Canada on horse racing. Therefore, the revenue and actual spending each year will vary.","The Canadian Pari-Mutuel Agency is not funded through an appropriation of public funds but rather through a levy on all money bet in Canada on horse racing. Therefore, the revenue and actual spending each year will vary. 

Actual full-time equivalents were lower than planned because the 2020-21 planned full-time equivalents were based on the 2019-20 actual full-time equivalents. In 2019-20, for a short period, the count was greater to better manage operational work load as well as some overlap with full-time equivalents that retired or were on leave.  The actual full-time equivalent count in 2020-21 is back to 2018-19 levels."
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN06","Water Infrastructure",3448069.00,4041052.07,3469207.00,3479891.00,37.00,23.00,37.00,37.00,,"Actual spending was greater than planned spending due to investments in a Saskatchewan Irrigation project and dam repairs. 

Actual full-time equivalents were lower than planned due to dams being transferred to the Province of Saskatchewan which resulted in operational requirements being reduced."
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN07","Federal, Provincial and Territorial Cost-shared Markets and Trade",63059725.00,78341136.73,63059725.00,63059725.00,4.00,5.00,4.00,4.00,,"As part of the Canadian Agricultural Partnership (the Partnership) five-year Framework, Federal-Provincial-Territorial Cost-shared programming is designed and delivered by the provinces and territories. Actual spending was greater than planned spending since the Provinces and Territories announced more than $19 million in programming to help producers and processors respond to pressures from the COVID-19 pandemic and most of this programming falls under the Markets and Trade priority area.

Actual full-time equivalents were higher than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Canadian Agricultural Partnership program initiatives."
"2020-2021",1,"Department of Agriculture and Agri-Food","Domestic and International Markets","BWN09","Food Policy Initiatives",19711665.00,205754040.01,23352710.00,27017653.00,19.00,24.00,19.00,17.00,"Increases in planned spending in 2021-22 and 2022-23 are related to the Food Waste Reduction Challenge initiative and the Buy Canadian Promotion Campaign.

The decrease in full-time equivalents in 2022-23 is due to fewer resources required for the Buy Canadian Promotion Campaign.","Actual spending was greater than planned spending as it reflects emergency support provided in response to COVID-19 for emergency food banks and local food organizations (Emergency Food Security Fund) and the Surplus Food Rescue Program.

Actual full-time equivalents were highter than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including COVID-19."
"2020-2021",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO01","Foundational Science and Research",344143503.00,378573406.83,344045445.00,328743655.00,2404.00,2360.00,2404.00,2404.00,"The decrease in planned spending in 2022-23 is related to the Advance Agricultural Discovery Science and Innovation Initiative.","Actual spending was greater than planned spending due to a a realignment of programs and a reinvestment of revenues from 2019-20 and from the disposal of Crown Assets for science activities.

Actual full-time equivalents were lower than planned primarily due to delays in hiring as a result of the COVID-19 pandemic as well as difficulties in hiring specialized science professionals."
"2020-2021",1,"Department of Agriculture and Agri-Food","Science and Innovation","BWO02","AgriScience",92116508.00,66199484.99,89230834.00,77288144.00,184.00,181.00,184.00,184.00,"Decreases in planned spending are due to funding being reallocated to fiscal years 2020-21 and 2021-22 from 2022-23 to meet the demand of the program in those years.","Actual spending was lower than planned spending due to a realignment of programs and delayed project activities as a result of COVID-19."
