fiscal_yr;service_id;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;1;4789185133139.0;4789189894391.0;4761252.0
2018-2019;10;6.61675147072243e+19;6.95575478162774e+20;6.294079634555497e+20
2018-2019;1001;355989.0;387297.0;31308.0
2018-2019;1002;0.0;0.0;0.0
2018-2019;1003;357242242251.0;504572802814.0;147330560563.0
2018-2019;1004;555.0;555.0;0.0
2018-2019;1005;0.0;0.0;0.0
2018-2019;1006;7.022948915182719e+16;7.022955015182719e+16;61000000000.0
2018-2019;1007;93412.0;93478.0;66.0
2018-2019;1008;404040.0;404040.0;0.0
2018-2019;1009;0.0;75.0;75.0
2018-2019;1010;48.0;48.0;0.0
2018-2019;1011;393939.0;404040.0;10101.0
2018-2019;1013;846.0;855.0;9.0
2018-2019;1015;6.0;6.0;0.0
2018-2019;1016;0.0;3.0;3.0
2018-2019;1017;1.0;1.0;0.0
2018-2019;1020;1.0;1.0;0.0
2018-2019;1021;2.0;3.0;1.0
2018-2019;1022;2.0;4.0;2.0
2018-2019;1024;5.0;6.0;1.0
2018-2019;1025;8.0;8.0;0.0
2018-2019;1027;327000.0;327000.0;0.0
2018-2019;1028;324.0;334.0;10.0
2018-2019;1029;51515151.0;53535353.0;2020202.0
2018-2019;1031;0.0;732732732.0;732732732.0
2018-2019;1032;240000.0;240000.0;0.0
2018-2019;1033;865.0;887.0;22.0
2018-2019;1034;220.0;222.0;2.0
2018-2019;1035;147.0;150.0;3.0
2018-2019;1037;557.0;606.0;49.0
2018-2019;1041;3043.0;3100.0;57.0
2018-2019;1042;15.0;17.0;2.0
2018-2019;1043;3043.0;3100.0;57.0
2018-2019;1045;52.0;52.0;0.0
2018-2019;1046;0.0;0.0;0.0
2018-2019;1047;0.0;0.0;0.0
2018-2019;1055;11691985.0;12532226.0;840241.0
2018-2019;1059;10378.0;11656.0;1278.0
2018-2019;1060;1030.0;1165.0;135.0
2018-2019;1062;111931824.0;117931843.0;6000019.0
2018-2019;1088;0.0;3151.0;3151.0
2018-2019;1089;76.0;82.0;6.0
2018-2019;1090;13973.0;19037.0;5064.0
2018-2019;1093;1254506.0;1576594.0;322088.0
2018-2019;1095;33000000.0;33000000.0;0.0
2018-2019;1096;21.0;21.0;0.0
2018-2019;1097;186601821329474.0;224842322086257.0;38240500756783.0
2018-2019;1098;0.0;5936732389604.0;5936732389604.0
2018-2019;1099;5870796884577.0;6047957146990.0;177160262413.0
2018-2019;1100;1405.0;1637.0;232.0
2018-2019;1101;2294082130568.0;2475692227964.0;181610097396.0
2018-2019;1104;97.0;108.0;11.0
2018-2019;1107;0.0;138200430034.0;138200430034.0
2018-2019;1113;3497426875.0;3720635362.0;223208487.0
2018-2019;1115;281015.0;310378.0;29363.0
2018-2019;1117;0.0;0.0;0.0
2018-2019;1120;2.0;4.0;2.0
2018-2019;1122;800824890.0;808925142.0;8100252.0
2018-2019;1130;0.0;0.0;0.0
2018-2019;1132;79270.0;79327.0;57.0
2018-2019;1142;0.0;0.0;0.0
2018-2019;1144;491696558427.0;7472581118436.0;6980884560009.0
2018-2019;1145;0.0;19657.0;19657.0
2018-2019;1148;44595.0;47160.0;2565.0
2018-2019;1150;310.0;310.0;0.0
2018-2019;1151;3500.0;3500.0;0.0
2018-2019;1154;1291.0;1291.0;0.0
2018-2019;1155;0.0;50796.0;50796.0
2018-2019;1156;82.0;82.0;0.0
2018-2019;1159;124.0;124.0;0.0
2018-2019;1160;96.0;96.0;0.0
2018-2019;1161;15.0;15.0;0.0
2018-2019;1162;40.0;40.0;0.0
2018-2019;1163;0.0;0.0;0.0
2018-2019;1164;22.0;22.0;0.0
2018-2019;1165;25.0;25.0;0.0
2018-2019;1180;800.0;800.0;0.0
2018-2019;1182;7600.0;9500.0;1900.0
2018-2019;1190;0.0;0.0;0.0
2018-2019;1196;123.0;153.0;30.0
2018-2019;1202;2366.0;2751.0;385.0
2018-2019;1204;144000.0;200000.0;56000.0
2018-2019;1208;5255.0;5255.0;0.0
2018-2019;1211;3920652.0;4522954.0;602302.0
2018-2019;1218;167100.0;176106.0;9006.0
2018-2019;1220;2488848139435.0;2489248139439.0;400000004.0
2018-2019;1221;23644.0;996242.0;972598.0
2018-2019;1222;1209.0;1209.0;0.0
2018-2019;1228;0.0;0.0;0.0
2018-2019;1234;33.0;33.0;0.0
2018-2019;1235;60654.0;68343.0;7689.0
2018-2019;1237;3200000.0;3200000.0;0.0
2018-2019;1238;1331.0;1331.0;0.0
2018-2019;1242;1.4316505999003525e+18;1.436337602495354e+18;4687002595001600.0
