fiscal_yr;department_en;department_fr;org_id;service_with_std_count;service_count_maf1;maf1_score
2018-2019;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;2;4;50.0
2018-2019;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;30;30;100.0
2018-2019;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;3;5;60.0
2018-2019;Canada Border Services Agency;Agence des services frontaliers du Canada;26;27;42;64.28571428571429
2018-2019;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;2;3;66.66666666666666
2018-2019;Canada Energy Regulator;Régie de l'énergie du Canada;221;12;12;100.0
2018-2019;Canada Revenue Agency;Agence du revenu du Canada;46;10;24;41.66666666666667
2018-2019;Canada School of Public Service;École de la fonction publique du Canada;47;2;3;66.66666666666666
2018-2019;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;6;6;100.0
2018-2019;Canadian Grain Commission;Commission canadienne des grains;69;0;1;0.0
2018-2019;Canadian Heritage;Patrimoine canadien;122;23;25;92.0
2018-2019;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;0;3;0.0
2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;1;7;14.285714285714285
2018-2019;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2;2;100.0
2018-2019;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;2;3;66.66666666666666
2018-2019;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;7;7;100.0
2018-2019;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;4;4;100.0
2018-2019;Canadian Space Agency;Agence spatiale canadienne;95;10;11;90.9090909090909
2018-2019;Canadian Transportation Agency;Office des transports du Canada;99;3;5;60.0
2018-2019;Copyright Board Canada;Commission du droit d'auteur Canada;114;2;3;66.66666666666666
2018-2019;Correctional Service Canada;Service correctionnel Canada;117;3;3;100.0
2018-2019;Courts Administration Service;Service administratif des tribunaux judiciaires;118;1;1;100.0
2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;21;63;33.33333333333333
2018-2019;Department of Finance Canada;Ministère des Finances Canada;124;1;1;100.0
2018-2019;Department of Indigenous Services;Ministère des Services aux Autochtones;348;3;65;4.615384615384616
2018-2019;Department of Justice Canada;Ministère de la Justice Canada;132;6;6;100.0
2018-2019;Employment and Social Development Canada;Emploi et Développement social Canada;128;36;36;100.0
2018-2019;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;26;33;78.78787878787878
2018-2019;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;4;0.0
2018-2019;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;2;3;66.66666666666666
2018-2019;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;5;7;71.42857142857143
2018-2019;Fisheries and Oceans Canada;Pêches et Océans Canada;125;53;55;96.36363636363636
2018-2019;Global Affairs Canada;Affaires mondiales Canada;126;4;36;11.11111111111111
2018-2019;Health Canada;Santé Canada;127;47;84;55.952380952380956
2018-2019;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;9;19;47.368421052631575
2018-2019;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1;6;16.666666666666664
2018-2019;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;25;74;33.78378378378378
2018-2019;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;5;8;62.5
2018-2019;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;37;44;84.0909090909091
2018-2019;Invest in Canada Hub;Investir au Canada;347;0;5;0.0
2018-2019;Library and Archives Canada;Bibliothèque et Archives Canada;199;6;8;75.0
2018-2019;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;0;2;0.0
