fiscal_yr;department_en;department_fr;org_id;service_standard_id_met;service_standard_id_total;maf2_score
2018-2019;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;1.0;2;50.0
2018-2019;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;88.0;123;71.54471544715447
2018-2019;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;4.0;7;57.14285714285714
2018-2019;Canada Border Services Agency;Agence des services frontaliers du Canada;26;26.0;43;60.46511627906976
2018-2019;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;1.0;7;14.285714285714285
2018-2019;Canada Energy Regulator;Régie de l'énergie du Canada;221;12.0;17;70.58823529411765
2018-2019;Canada Revenue Agency;Agence du revenu du Canada;46;7.0;16;43.75
2018-2019;Canada School of Public Service;École de la fonction publique du Canada;47;3.0;5;60.0
2018-2019;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;7.0;8;87.5
2018-2019;Canadian Heritage;Patrimoine canadien;122;45.0;48;93.75
2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;3.0;3;100.0
2018-2019;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;2.0;2;100.0
2018-2019;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;3.0;4;75.0
2018-2019;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;11.0;11;100.0
2018-2019;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;1.0;13;7.6923076923076925
2018-2019;Canadian Space Agency;Agence spatiale canadienne;95;4.0;14;28.57142857142857
2018-2019;Canadian Transportation Agency;Office des transports du Canada;99;1.0;5;20.0
2018-2019;Copyright Board Canada;Commission du droit d'auteur Canada;114;;2;
2018-2019;Correctional Service Canada;Service correctionnel Canada;117;1.0;13;7.6923076923076925
2018-2019;Courts Administration Service;Service administratif des tribunaux judiciaires;118;;1;
2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;12.0;23;52.17391304347826
2018-2019;Department of Finance Canada;Ministère des Finances Canada;124;1.0;1;100.0
2018-2019;Department of Indigenous Services;Ministère des Services aux Autochtones;348;1.0;5;20.0
2018-2019;Department of Justice Canada;Ministère de la Justice Canada;132;16.0;16;100.0
2018-2019;Employment and Social Development Canada;Emploi et Développement social Canada;128;57.0;77;74.02597402597402
2018-2019;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;51.0;88;57.95454545454546
2018-2019;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;2.0;2;100.0
2018-2019;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;5.0;8;62.5
2018-2019;Fisheries and Oceans Canada;Pêches et Océans Canada;125;62.0;92;67.3913043478261
2018-2019;Global Affairs Canada;Affaires mondiales Canada;126;;4;
2018-2019;Health Canada;Santé Canada;127;48.0;70;68.57142857142857
2018-2019;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;15.0;26;57.692307692307686
2018-2019;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;1.0;1;100.0
2018-2019;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;26.0;41;63.41463414634146
2018-2019;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;4.0;6;66.66666666666666
2018-2019;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;85.0;121;70.24793388429752
2018-2019;Library and Archives Canada;Bibliothèque et Archives Canada;199;3.0;6;50.0
2018-2019;National Film Board;Office national du film;223;5.0;6;83.33333333333334
2018-2019;National Research Council Canada;Conseil national de recherches Canada;228;12.0;24;50.0
2018-2019;Natural Resources Canada;Ressources naturelles Canada;134;3.0;3;100.0
2018-2019;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;;11;
2018-2019;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;9.0;12;75.0
2018-2019;Parks Canada;Parcs Canada;263;5.0;6;83.33333333333334
2018-2019;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;4.0;4;100.0
2018-2019;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;;1;
2018-2019;Polar Knowledge Canada;Savoir polaire Canada;552;;9;
2018-2019;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;140;6.0;6;100.0
2018-2019;Public Health Agency of Canada;Agence de la santé publique du Canada;280;12.0;18;66.66666666666666
2018-2019;Public Safety Canada;Sécurité publique Canada;135;45.0;94;47.87234042553192
2018-2019;Public Service Commission of Canada;Commission de la fonction publique du Canada;282;7.0;13;53.84615384615385
