fiscal_yr;department_en;department_fr;org_id;online_e2e_count;service_count_maf5;maf5_score
2018-2019;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;0;4;0.0
2018-2019;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;9;30;30.0
2018-2019;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;1;5;20.0
2018-2019;Canada Border Services Agency;Agence des services frontaliers du Canada;26;2;42;4.761904761904762
2018-2019;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;0;3;0.0
2018-2019;Canada Energy Regulator;Régie de l'énergie du Canada;221;2;12;16.666666666666664
2018-2019;Canada Revenue Agency;Agence du revenu du Canada;46;6;24;25.0
2018-2019;Canada School of Public Service;École de la fonction publique du Canada;47;1;3;33.33333333333333
2018-2019;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;4;6;66.66666666666666
2018-2019;Canadian Grain Commission;Commission canadienne des grains;69;0;1;0.0
2018-2019;Canadian Heritage;Patrimoine canadien;122;0;25;0.0
2018-2019;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;0;3;0.0
2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;2;7;28.57142857142857
2018-2019;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;0;2;0.0
2018-2019;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;1;3;33.33333333333333
2018-2019;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;7;0.0
2018-2019;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;1;4;25.0
2018-2019;Canadian Space Agency;Agence spatiale canadienne;95;2;11;18.181818181818183
2018-2019;Canadian Transportation Agency;Office des transports du Canada;99;0;5;0.0
2018-2019;Copyright Board Canada;Commission du droit d'auteur Canada;114;0;3;0.0
2018-2019;Correctional Service Canada;Service correctionnel Canada;117;0;3;0.0
2018-2019;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;1;0.0
