fiscal_yr;department_en;department_fr;org_id;activated_point_count;point_count;maf6_score
2018-2019;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;539;2;24;8.333333333333332
2018-2019;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;1;107;180;59.44444444444444
2018-2019;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;12;11;30;36.666666666666664
2018-2019;Canada Border Services Agency;Agence des services frontaliers du Canada;26;32;252;12.698412698412698
2018-2019;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;141;4;18;22.22222222222222
2018-2019;Canada Energy Regulator;Régie de l'énergie du Canada;221;32;72;44.44444444444444
2018-2019;Canada Revenue Agency;Agence du revenu du Canada;46;85;144;59.02777777777778
2018-2019;Canada School of Public Service;École de la fonction publique du Canada;47;7;18;38.88888888888889
2018-2019;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65;24;36;66.66666666666666
2018-2019;Canadian Grain Commission;Commission canadienne des grains;69;0;6;0.0
2018-2019;Canadian Heritage;Patrimoine canadien;122;19;150;12.666666666666668
2018-2019;Canadian Human Rights Commission;Commission canadienne des droits de la personne;71;4;18;22.22222222222222
2018-2019;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;74;11;42;26.190476190476193
2018-2019;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;76;6;12;50.0
2018-2019;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;86;6;18;33.33333333333333
2018-2019;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;87;0;42;0.0
2018-2019;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;93;11;24;45.83333333333333
2018-2019;Canadian Space Agency;Agence spatiale canadienne;95;23;66;34.84848484848485
2018-2019;Canadian Transportation Agency;Office des transports du Canada;99;8;30;26.666666666666668
2018-2019;Copyright Board Canada;Commission du droit d'auteur Canada;114;0;18;0.0
2018-2019;Correctional Service Canada;Service correctionnel Canada;117;1;18;5.555555555555555
2018-2019;Courts Administration Service;Service administratif des tribunaux judiciaires;118;0;6;0.0
2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;33;378;8.73015873015873
2018-2019;Department of Finance Canada;Ministère des Finances Canada;124;5;6;83.33333333333334
2018-2019;Department of Indigenous Services;Ministère des Services aux Autochtones;348;36;390;9.230769230769232
2018-2019;Department of Justice Canada;Ministère de la Justice Canada;132;10;36;27.77777777777778
2018-2019;Employment and Social Development Canada;Emploi et Développement social Canada;128;71;216;32.870370370370374
2018-2019;Environment and Climate Change Canada;Environnement et Changement climatique Canada;137;71;198;35.858585858585855
2018-2019;Farm Products Council of Canada;Conseil des produits agricoles du Canada;222;0;24;0.0
2018-2019;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;151;9;18;50.0
2018-2019;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;152;7;42;16.666666666666664
2018-2019;Fisheries and Oceans Canada;Pêches et Océans Canada;125;32;330;9.696969696969697
2018-2019;Global Affairs Canada;Affaires mondiales Canada;126;35;216;16.203703703703702
2018-2019;Health Canada;Santé Canada;127;59;504;11.706349206349206
2018-2019;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;237;11;114;9.649122807017543
2018-2019;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;174;6;36;16.666666666666664
2018-2019;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;123;226;444;50.9009009009009
2018-2019;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;63;8;48;16.666666666666664
2018-2019;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;130;128;264;48.484848484848484
2018-2019;Invest in Canada Hub;Investir au Canada;347;0;30;0.0
2018-2019;Library and Archives Canada;Bibliothèque et Archives Canada;199;8;48;16.666666666666664
2018-2019;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;210;1;12;8.333333333333332
2018-2019;National Defence;Défense nationale;133;11;66;16.666666666666664
2018-2019;National Film Board;Office national du film;223;5;18;27.77777777777778
2018-2019;National Research Council Canada;Conseil national de recherches Canada;228;26;90;28.888888888888886
2018-2019;Natural Resources Canada;Ressources naturelles Canada;134;60;198;30.303030303030305
2018-2019;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;230;23;36;63.888888888888886
2018-2019;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;240;7;36;19.444444444444446
2018-2019;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;253;2;42;4.761904761904762
2018-2019;Parks Canada;Parcs Canada;263;11;84;13.095238095238097
2018-2019;Parole Board of Canada;Commission des libérations conditionnelles du Canada;227;28;66;42.42424242424242
2018-2019;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;266;5;12;41.66666666666667
2018-2019;Polar Knowledge Canada;Savoir polaire Canada;552;13;18;72.22222222222221
