service_id;service_name_en;service_name_fr;fiscal_yr;department_en;department_fr;org_id
0849;Media Relations;Bureau des relations avec les médias;2023-2024;Communications Security Establishment Canada;Centre de la sécurité des télécommunications Canada;110
1;Permit to Operate a Rendering Plant;Permis d'exploitation d'une usine de traitement;2023-2024;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;65
10;Procurement;Approvisionnement;2023-2024;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;136
1000;Reconciliation;Réconciliation;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1001;Old Age Security (OAS) Benefits;Prestations de la Sécurité de la vieillesse;2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1002;Research Data Centres (RDC);Centres de données de recherche (CDR);2023-2024;Statistics Canada;Statistique Canada;313
1003;Employment Insurance (EI) Benefits;Prestations d’assurance-emploi;2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1004;Canada Nature Fund for Aquatic Species at Risk;Le Fonds de la nature du Canada pour les espèces aquatiques en péril;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1005;Canadian Benefit for Parents of Young Victims of Crime;Allocation canadienne aux parents de jeunes victimes de crimes;2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1006;Catch Certification Program;Programme de certification des captures;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1007;Canada Apprenticeship Grants;Subventions aux apprentis du Canada;2023-2024;Employment and Social Development Canada;Emploi et Développement social Canada;128
1008;Aquatic Ecosystems Restoration Fund (AERF);Fonds de restauration des écosystèmes aquatiques (FREA);2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1009;Fisheries Act Authorizations;Autorisations en vertu de la Loi sur les pêches;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1010;Fisheries and Aquaculture Clean Technology Adoption Program (FACTAP);Programme d'adoption des technologies propres pour les pêches et l'aquaculture (PTPPA);2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1011;Habitat Stewardship Program for Aquatic Species at Risk;Programme d'intendance de l'habitat pour les espèces aquatiques en péril;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1012;Intergovernmental and International Relations;Relations intergouvernementales et internationales;2023-2024;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1013;Introduction and Transfer Licensing Application Review;Processus d'évaluation de permis d'introduction et de transfert;2023-2024;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1014;National Indigenous Representative Organizations;Organisations autochtones représentatives nationale;2018-2019;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129
1015;MPA Activity Plan Application Process - Anguniaqvia niqiqyuam MPA;Processus de demande d'activités pour la ZPM -  Anguniaqvia niqiqyuam;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1016;MPA Activity Plan Application Process - SGaan Kinghlas-Bowie Seamount MPA;Processus de demande d'activités pour la ZPM - Mont sous-marin SGaan Kinghlas-Bowie;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1017;MPA Activity Plan Application Process - Eastport MPA;Processus de demande d'activités pour la ZPM - Eastport;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
1018;MPA Activity Plan Application Process - Endeavour Hydrothermal Vents;Processus de demande d'activités pour la ZPM - Champ hydrothermal Endeavour;2022-2023;Fisheries and Oceans Canada;Pêches et Océans Canada;125
