fiscal_yr;org_id;service_id;online_interaction_point;activation;online_interaction_point_sort
2023-2024;110;0849;account_registration;NA;1
2023-2024;110;0849;authentication;NA;2
2023-2024;110;0849;application;NA;3
2023-2024;110;0849;decision;NA;4
2023-2024;110;0849;issuance;NA;5
2023-2024;110;0849;issue_resolution_feedback;NA;6
2023-2024;65;1;account_registration;N;1
2023-2024;65;1;authentication;N;2
2023-2024;65;1;application;N;3
2023-2024;65;1;decision;N;4
2023-2024;65;1;issuance;N;5
2023-2024;65;1;issue_resolution_feedback;N;6
2023-2024;136;10;account_registration;N;1
2023-2024;136;10;authentication;N;2
2023-2024;136;10;application;N;3
2023-2024;136;10;decision;N;4
2023-2024;136;10;issuance;N;5
2023-2024;136;10;issue_resolution_feedback;N;6
2018-2019;129;1000;account_registration;NA;1
2018-2019;129;1000;authentication;NA;2
2018-2019;129;1000;application;NA;3
2018-2019;129;1000;decision;NA;4
2018-2019;129;1000;issuance;NA;5
2018-2019;129;1000;issue_resolution_feedback;NA;6
2023-2024;128;1001;account_registration;Y;1
2023-2024;128;1001;authentication;Y;2
2023-2024;128;1001;application;Y;3
2023-2024;128;1001;decision;Y;4
2023-2024;128;1001;issuance;Y;5
2023-2024;128;1001;issue_resolution_feedback;Y;6
2023-2024;313;1002;account_registration;Y;1
2023-2024;313;1002;authentication;Y;2
2023-2024;313;1002;application;Y;3
2023-2024;313;1002;decision;Y;4
2023-2024;313;1002;issuance;NA;5
2023-2024;313;1002;issue_resolution_feedback;NA;6
2023-2024;128;1003;account_registration;Y;1
2023-2024;128;1003;authentication;Y;2
2023-2024;128;1003;application;Y;3
2023-2024;128;1003;decision;Y;4
2023-2024;128;1003;issuance;Y;5
2023-2024;128;1003;issue_resolution_feedback;Y;6
2023-2024;125;1004;account_registration;NA;1
2023-2024;125;1004;authentication;NA;2
2023-2024;125;1004;application;NA;3
2023-2024;125;1004;decision;NA;4
2023-2024;125;1004;issuance;NA;5
2023-2024;125;1004;issue_resolution_feedback;NA;6
2023-2024;128;1005;account_registration;NA;1
2023-2024;128;1005;authentication;N;2
2023-2024;128;1005;application;Y;3
2023-2024;128;1005;decision;N;4
2023-2024;128;1005;issuance;N;5
2023-2024;128;1005;issue_resolution_feedback;N;6
2023-2024;125;1006;account_registration;Y;1
2023-2024;125;1006;authentication;Y;2
2023-2024;125;1006;application;Y;3
2023-2024;125;1006;decision;Y;4
2023-2024;125;1006;issuance;Y;5
2023-2024;125;1006;issue_resolution_feedback;N;6
2023-2024;128;1007;account_registration;NA;1
2023-2024;128;1007;authentication;N;2
2023-2024;128;1007;application;Y;3
2023-2024;128;1007;decision;N;4
2023-2024;128;1007;issuance;N;5
2023-2024;128;1007;issue_resolution_feedback;N;6
2023-2024;125;1008;account_registration;N;1
2023-2024;125;1008;authentication;N;2
2023-2024;125;1008;application;N;3
2023-2024;125;1008;decision;N;4
2023-2024;125;1008;issuance;N;5
2023-2024;125;1008;issue_resolution_feedback;N;6
2023-2024;125;1009;account_registration;NA;1
2023-2024;125;1009;authentication;NA;2
2023-2024;125;1009;application;NA;3
2023-2024;125;1009;decision;NA;4
2023-2024;125;1009;issuance;NA;5
2023-2024;125;1009;issue_resolution_feedback;NA;6
2022-2023;125;1010;account_registration;N;1
2022-2023;125;1010;authentication;N;2
2022-2023;125;1010;application;N;3
2022-2023;125;1010;decision;N;4
2022-2023;125;1010;issuance;N;5
2022-2023;125;1010;issue_resolution_feedback;N;6
2023-2024;125;1011;account_registration;NA;1
2023-2024;125;1011;authentication;NA;2
2023-2024;125;1011;application;NA;3
2023-2024;125;1011;decision;NA;4
2023-2024;125;1011;issuance;NA;5
2023-2024;125;1011;issue_resolution_feedback;NA;6
2023-2024;129;1012;account_registration;NA;1
2023-2024;129;1012;authentication;NA;2
2023-2024;129;1012;application;NA;3
2023-2024;129;1012;decision;NA;4
2023-2024;129;1012;issuance;NA;5
2023-2024;129;1012;issue_resolution_feedback;NA;6
2023-2024;125;1013;account_registration;N;1
2023-2024;125;1013;authentication;N;2
2023-2024;125;1013;application;N;3
2023-2024;125;1013;decision;N;4
2023-2024;125;1013;issuance;N;5
2023-2024;125;1013;issue_resolution_feedback;N;6
2018-2019;129;1014;account_registration;NA;1
2018-2019;129;1014;authentication;NA;2
2018-2019;129;1014;application;NA;3
2018-2019;129;1014;decision;NA;4
2018-2019;129;1014;issuance;NA;5
2018-2019;129;1014;issue_resolution_feedback;NA;6
2022-2023;125;1015;account_registration;NA;1
2022-2023;125;1015;authentication;NA;2
2022-2023;125;1015;application;NA;3
2022-2023;125;1015;decision;NA;4
2022-2023;125;1015;issuance;NA;5
2022-2023;125;1015;issue_resolution_feedback;NA;6
2022-2023;125;1016;account_registration;N;1
2022-2023;125;1016;authentication;N;2
2022-2023;125;1016;application;N;3
2022-2023;125;1016;decision;N;4
2022-2023;125;1016;issuance;N;5
2022-2023;125;1016;issue_resolution_feedback;N;6
2022-2023;125;1017;account_registration;N;1
2022-2023;125;1017;authentication;N;2
2022-2023;125;1017;application;N;3
2022-2023;125;1017;decision;N;4
2022-2023;125;1017;issuance;N;5
2022-2023;125;1017;issue_resolution_feedback;N;6
2022-2023;125;1018;account_registration;N;1
2022-2023;125;1018;authentication;N;2
2022-2023;125;1018;application;N;3
2022-2023;125;1018;decision;N;4
2022-2023;125;1018;issuance;N;5
2022-2023;125;1018;issue_resolution_feedback;N;6
2023-2024;129;1019;account_registration;NA;1
2023-2024;129;1019;authentication;NA;2
2023-2024;129;1019;application;NA;3
2023-2024;129;1019;decision;NA;4
2023-2024;129;1019;issuance;NA;5
2023-2024;129;1019;issue_resolution_feedback;NA;6
2022-2023;125;1020;account_registration;N;1
2022-2023;125;1020;authentication;N;2
2022-2023;125;1020;application;N;3
2022-2023;125;1020;decision;N;4
2022-2023;125;1020;issuance;N;5
2022-2023;125;1020;issue_resolution_feedback;N;6
2022-2023;125;1021;account_registration;N;1
2022-2023;125;1021;authentication;N;2
2022-2023;125;1021;application;N;3
2022-2023;125;1021;decision;N;4
2022-2023;125;1021;issuance;N;5
2022-2023;125;1021;issue_resolution_feedback;N;6
2022-2023;125;1022;account_registration;N;1
2022-2023;125;1022;authentication;N;2
2022-2023;125;1022;application;N;3
2022-2023;125;1022;decision;N;4
2022-2023;125;1022;issuance;N;5
2022-2023;125;1022;issue_resolution_feedback;N;6
2023-2024;129;1023;account_registration;NA;1
2023-2024;129;1023;authentication;NA;2
2023-2024;129;1023;application;NA;3
2023-2024;129;1023;decision;NA;4
2023-2024;129;1023;issuance;NA;5
2023-2024;129;1023;issue_resolution_feedback;NA;6
2022-2023;125;1024;account_registration;N;1
2022-2023;125;1024;authentication;N;2
2022-2023;125;1024;application;N;3
2022-2023;125;1024;decision;N;4
2022-2023;125;1024;issuance;N;5
2022-2023;125;1024;issue_resolution_feedback;N;6
2022-2023;125;1025;account_registration;N;1
2022-2023;125;1025;authentication;N;2
2022-2023;125;1025;application;N;3
2022-2023;125;1025;decision;N;4
2022-2023;125;1025;issuance;N;5
2022-2023;125;1025;issue_resolution_feedback;N;6
2023-2024;125;1026;account_registration;Y;1
2023-2024;125;1026;authentication;Y;2
2023-2024;125;1026;application;Y;3
2023-2024;125;1026;decision;Y;4
2023-2024;125;1026;issuance;Y;5
2023-2024;125;1026;issue_resolution_feedback;Y;6
2023-2024;125;1027;account_registration;Y;1
2023-2024;125;1027;authentication;Y;2
2023-2024;125;1027;application;Y;3
2023-2024;125;1027;decision;Y;4
2023-2024;125;1027;issuance;Y;5
2023-2024;125;1027;issue_resolution_feedback;N;6
2023-2024;125;1028;account_registration;Y;1
2023-2024;125;1028;authentication;Y;2
2023-2024;125;1028;application;Y;3
2023-2024;125;1028;decision;Y;4
2023-2024;125;1028;issuance;Y;5
2023-2024;125;1028;issue_resolution_feedback;Y;6
2023-2024;125;1029;account_registration;N;1
2023-2024;125;1029;authentication;N;2
2023-2024;125;1029;application;N;3
2023-2024;125;1029;decision;N;4
2023-2024;125;1029;issuance;N;5
2023-2024;125;1029;issue_resolution_feedback;N;6
2023-2024;125;1030;account_registration;N;1
2023-2024;125;1030;authentication;N;2
2023-2024;125;1030;application;N;3
2023-2024;125;1030;decision;N;4
2023-2024;125;1030;issuance;N;5
2023-2024;125;1030;issue_resolution_feedback;N;6
2019-2020;125;1031;account_registration;NA;1
2019-2020;125;1031;authentication;NA;2
2019-2020;125;1031;application;NA;3
2019-2020;125;1031;decision;NA;4
2019-2020;125;1031;issuance;NA;5
2019-2020;125;1031;issue_resolution_feedback;NA;6
2023-2024;125;1032;account_registration;Y;1
2023-2024;125;1032;authentication;Y;2
2023-2024;125;1032;application;Y;3
2023-2024;125;1032;decision;Y;4
2023-2024;125;1032;issuance;Y;5
2023-2024;125;1032;issue_resolution_feedback;N;6
2022-2023;125;1033;account_registration;N;1
2022-2023;125;1033;authentication;N;2
2022-2023;125;1033;application;N;3
2022-2023;125;1033;decision;N;4
2022-2023;125;1033;issuance;N;5
2022-2023;125;1033;issue_resolution_feedback;N;6
2022-2023;125;1034;account_registration;N;1
2022-2023;125;1034;authentication;N;2
2022-2023;125;1034;application;N;3
2022-2023;125;1034;decision;N;4
2022-2023;125;1034;issuance;N;5
2022-2023;125;1034;issue_resolution_feedback;N;6
