fiscal_yr;org_id;service_id;channel;volume
2022-2023;129;1019;phone;40.0
2021-2022;129;1019;phone;40.0
2019-2020;46;1097;phone;50149.0
2020-2021;46;1097;phone;63887.0
2021-2022;46;1097;phone;57949.0
2020-2021;326;1114;phone;347.0
2021-2022;326;1114;phone;942.0
2019-2020;46;1116;phone;103446.0
2020-2021;46;1116;phone;86229.0
2021-2022;46;1116;phone;88914.0
2020-2021;74;1122;phone;3389.0
2022-2023;136;1147;phone;12.0
2021-2022;129;1166;phone;40.0
2019-2020;263;1231;phone;397654.0
2019-2020;130;1253;phone;7137.0
2019-2020;128;1254;phone;4511.0
2020-2021;128;1254;phone;1581.0
2022-2023;313;1299;phone;13428.0
2022-2023;130;1303;phone;62.0
2022-2023;313;1320;phone;12.0
2022-2023;130;1332;phone;30053.0
2022-2023;228;1339;phone;7758.0
2019-2020;228;1339;phone;10380.0
2021-2022;228;1339;phone;8504.0
2019-2020;278;1365;phone;14916.0
2021-2022;348;1366;phone;56.0
2021-2022;348;1367;phone;35573.0
2019-2020;282;1372;phone;325.0
2019-2020;282;1397;phone;118.0
2022-2023;136;13;phone;3633.0
2022-2023;123;1426;phone;2.0
2022-2023;123;1428;phone;1.0
2021-2022;123;1433;phone;10.0
2020-2021;223;1506;phone;320.0
2019-2020;26;1548;phone;210.0
2021-2022;228;1553;phone;3000.0
2021-2022;228;1554;phone;290000.0
2022-2023;117;155;phone;5.0
2022-2023;139;1561;phone;16232.0
2020-2021;139;1561;phone;11985.0
2021-2022;139;1561;phone;16142.0
2021-2022;138;1565;phone;204.0
2021-2022;138;1567;phone;603.0
2020-2021;134;1578;phone;1667.0
2020-2021;138;1620;phone;4.0
2021-2022;138;1620;phone;565.0
2021-2022;138;1625;phone;24794.0
2021-2022;99;165;phone;25.0
2021-2022;126;1688;phone;100.0
2020-2021;99;168;phone;5450.0
2022-2023;126;1699;phone;100.0
2019-2020;280;1720;phone;2.0
2021-2022;125;1738;phone;1000.0
2020-2021;125;1747;phone;300.0
2019-2020;76;1817;phone;100.0
2022-2023;199;1854;phone;8.0
2021-2022;126;1855;phone;72.0
2019-2020;76;1862;phone;1.0
2022-2023;199;1867;phone;273.0
2022-2023;199;1869;phone;139.0
2019-2020;280;1870;phone;82.0
2022-2023;93;1875;phone;9401.0
2019-2020;93;1875;phone;4770.0
2020-2021;93;1875;phone;8762.0
2021-2022;93;1875;phone;8082.0
2022-2023;240;1880;phone;5.0
2021-2022;240;1880;phone;5.0
2022-2023;240;1882;phone;2.0
2020-2021;122;1908;phone;10.0
2021-2022;122;1908;phone;17.0
2022-2023;122;1915;phone;3.0
2020-2021;127;1958;phone;55741.0
2020-2021;127;1960;phone;75.0
2021-2022;137;1975;phone;171.0
2019-2020;124;2140;phone;480.0
2019-2020;297;2150;phone;1238.0
2020-2021;297;2151;phone;1.0
2020-2021;297;2152;phone;1.0
2022-2023;123;2238;phone;1020388.0
2020-2021;123;2238;phone;4255087.0
2021-2022;123;2238;phone;4034397.0
2020-2021;280;2254;phone;3000.0
2021-2022;280;2254;phone;3000.0
2022-2023;136;2259;phone;3.0
2020-2021;280;2268;phone;12423.0
2022-2023;256;2275;phone;2714.0
2020-2021;256;2275;phone;5591.0
2021-2022;256;2275;phone;5518.0
2022-2023;137;244;phone;383.0
2019-2020;137;244;phone;155.0
2021-2022;46;2457;phone;3820663.0
2021-2022;46;2458;phone;4155915.0
2021-2022;46;2459;phone;883149.0
2021-2022;126;2528;phone;32623.0
2022-2023;199;2531;phone;5.0
2021-2022;199;2531;phone;34.0
2022-2023;199;2534;phone;5.0
2021-2022;199;2534;phone;14.0
2019-2020;218;29;phone;12.0
2021-2022;221;314;phone;4.0
2020-2021;210;423;phone;1.0
2022-2023;26;669;phone;290020.0
2019-2020;26;669;phone;30436.0
2020-2021;26;669;phone;10035.0
2021-2022;26;669;phone;159274.0
2019-2020;26;670;phone;212628.0
2020-2021;26;670;phone;47484.0
2019-2020;26;672;phone;107588.0
2020-2021;26;672;phone;3422.0
2022-2023;26;679;phone;1019022.0
2019-2020;26;679;phone;370824.0
2020-2021;26;679;phone;1016581.0
2021-2022;26;679;phone;866241.0
2019-2020;26;680;phone;217.0
2019-2020;65;6;phone;1.0
2021-2022;65;6;phone;1.0
2019-2020;12;716;phone;108.0
2022-2023;135;838;phone;500.0
2021-2022;135;838;phone;500.0
2022-2023;136;843;phone;4983.0
2020-2021;141;849;phone;3.0
2021-2022;141;849;phone;2.0
2021-2022;141;851;phone;5197.0
2021-2022;127;865;phone;633.0
2021-2022;127;866;phone;12.0
2019-2020;136;870;phone;987.0
2020-2021;136;870;phone;1777.0
2021-2022;136;870;phone;1380.0
2020-2021;280;899;phone;287.0
2022-2023;151;907;phone;7767.0
2019-2020;151;907;phone;9265.0
2020-2021;151;907;phone;10216.0
2021-2022;151;907;phone;7628.0
2022-2023;136;914;phone;65.0
2022-2023;136;942;phone;6.0
2021-2022;136;942;phone;3.0
2022-2023;137;950;phone;7.0
2020-2021;263;951;phone;70000.0
2020-2021;152;978;phone;50.0
2021-2022;137;985;phone;10.0
2021-2022;137;986;phone;1000.0
2022-2023;133;SRV02716;phone;202.0
2022-2023;133;SRV02717;phone;1718.0
2021-2022;65;SRV02738;phone;73490.0
2021-2022;46;SRV02825;phone;178922.0
2022-2023;126;SRV02838;phone;4130.0
2022-2023;126;SRV02859;phone;1100.0
2022-2023;134;SRV02939;phone;22.0
2021-2022;134;SRV02939;phone;25.0
2022-2023;133;SRV03060;phone;2.0
2022-2023;139;SRV03062;phone;726.0
2022-2023;122;SRV03172;phone;13.0
2022-2023;122;SRV03323;phone;83.0
2022-2023;138;SRV03476;phone;55.0
2022-2023;138;SRV03521;phone;100.0
2022-2023;138;SRV03525;phone;13372.0
2022-2023;138;SRV03537;phone;1.0
2022-2023;138;SRV03560;phone;639.0
2022-2023;46;3719;phone;52665.0
2022-2023;46;1097;phone;51573.0
2022-2023;46;3727;phone;20160.0
2022-2023;46;3718;phone;6542.0
2022-2023;46;2450;phone;10.0
2022-2023;46;1116;phone;67332.0
2022-2023;46;1117;phone;8.0
2023-2024;26;669;phone;326312.0
2023-2024;26;679;phone;390799.0
2023-2024;221;314;phone;6.0
2023-2024;46;1116;phone;42837.0
2023-2024;46;3727;phone;30860.0
2023-2024;46;1097;phone;48050.0
2023-2024;46;1117;phone;3.0
2023-2024;46;2450;phone;10.0
2023-2024;46;3718;phone;5145.0
2023-2024;55;3639;phone;1054.0
2023-2024;65;1;phone;1.0
2023-2024;65;2;phone;1.0
2023-2024;65;3;phone;1.0
2023-2024;65;4;phone;1.0
2023-2024;65;1978;phone;1.0
2023-2024;65;SRV02738;phone;42066.0
2023-2024;122;1915;phone;5.0
2023-2024;122;SRV03322;phone;2.0
2023-2024;122;SRV03323;phone;80.0
2023-2024;93;1875;phone;5574.0
2023-2024;297;2150;phone;31.0
2023-2024;117;155;phone;1.0
2023-2024;129;1356;phone;398.0
2023-2024;132;2287;phone;32.0
2023-2024;128;1371;phone;623.0
2023-2024;128;1254;phone;2056.0
2023-2024;137;255;phone;2.0
2023-2024;151;1726;phone;1730.0
