fiscal_yr;org_id;service_id;channel;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;1;127;OTH;101.0;106.0;5.0
2018-2019;1;129;OTH;109.0;124.0;15.0
2018-2019;1;130;OTH;198.0;216.0;18.0
2018-2019;1;130;TEL;0.0;0.0;0.0
2018-2019;1;131;OTH;80.0;80.0;0.0
2018-2019;1;131;TEL;0.0;0.0;0.0
2018-2019;1;132;ONL;43.0;43.0;0.0
2018-2019;1;132;OTH;60.0;77.0;17.0
2018-2019;1;132;TEL;48.0;50.0;2.0
2018-2019;1;133;ONL;105238.0;106342.0;1104.0
2018-2019;1;134;ONL;4830.0;5767.0;937.0
2018-2019;1;135;OTH;6930.0;6984.0;54.0
2018-2019;1;135;TEL;3001.0;3085.0;84.0
2018-2019;1;136;ONL;22.0;30.0;8.0
2018-2019;1;136;OTH;73.0;85.0;12.0
2018-2019;1;136;TEL;23.0;23.0;0.0
2018-2019;1;137;ONL;47.0;63.0;16.0
2018-2019;1;137;OTH;125.0;166.0;41.0
2018-2019;1;137;TEL;53.0;53.0;0.0
2018-2019;1;138;ONL;2.0;2.0;0.0
2018-2019;1;138;OTH;280.0;335.0;55.0
2018-2019;1;138;TEL;130.0;130.0;0.0
2018-2019;1;139;ONL;5.0;5.0;0.0
2018-2019;1;139;OTH;157.0;189.0;32.0
2018-2019;1;139;TEL;219.0;219.0;0.0
2018-2019;1;140;ONL;42.0;57.0;15.0
2018-2019;1;140;OTH;55.0;96.0;41.0
2018-2019;1;140;TEL;28.0;28.0;0.0
2018-2019;1;144;ONL;6.0;6.0;0.0
2018-2019;1;144;OTH;43.0;52.0;9.0
2018-2019;1;144;TEL;20.0;20.0;0.0
2018-2019;1;145;ONL;447.0;450.0;3.0
2018-2019;1;145;OTH;1365.0;1367.0;2.0
2018-2019;1;145;TEL;99.0;99.0;0.0
2018-2019;1;146;ONL;42.0;42.0;0.0
2018-2019;1;146;OTH;58.0;76.0;18.0
2018-2019;1;146;TEL;65.0;65.0;0.0
2018-2019;1;147;ONL;38.0;44.0;6.0
2018-2019;1;147;OTH;0.0;0.0;0.0
2018-2019;1;147;TEL;2.0;2.0;0.0
2018-2019;1;148;ONL;243.0;243.0;0.0
2018-2019;1;148;OTH;309.0;313.0;4.0
2018-2019;1;148;TEL;0.0;0.0;0.0
2018-2019;1;149;OTH;241.0;245.0;4.0
2018-2019;1;149;TEL;14.0;14.0;0.0
2018-2019;1;152;ONL;30.0;44.0;14.0
2018-2019;1;152;OTH;34.0;45.0;11.0
2018-2019;1;152;TEL;0.0;0.0;0.0
2018-2019;1;153;OTH;150.0;150.0;0.0
2018-2019;1;154;ONL;63.0;66.0;3.0
2018-2019;1;154;OTH;24.0;26.0;2.0
2018-2019;1;154;TEL;47.0;47.0;0.0
2018-2019;1;156;ONL;1227.0;1227.0;0.0
2018-2019;1;156;OTH;1029.0;1153.0;124.0
2018-2019;1;156;TEL;4154.0;4154.0;0.0
2018-2019;1;158;ONL;16.0;16.0;0.0
2018-2019;1;158;OTH;18.0;24.0;6.0
2018-2019;1;158;TEL;12.0;12.0;0.0
2018-2019;1;161;ONL;15.0;15.0;0.0
2018-2019;1;161;OTH;37.0;49.0;12.0
2018-2019;1;161;TEL;40.0;40.0;0.0
2018-2019;1;162;OTH;37.0;43.0;6.0
2018-2019;1;162;TEL;39.0;39.0;0.0
2018-2019;1;163;OTH;0.0;0.0;0.0
2018-2019;1;163;TEL;2.0;2.0;0.0
2018-2019;1;164;ONL;223.0;234.0;11.0
2018-2019;1;164;OTH;107.0;201.0;94.0
2018-2019;1;164;TEL;176.0;176.0;0.0
2018-2019;114;1120;OTH;2.0;4.0;2.0
2018-2019;114;1863;ONL;0.0;1.0;1.0
2018-2019;117;155;ONL;0.0;0.0;0.0
2018-2019;117;155;OTH;0.0;0.0;0.0
2018-2019;117;155;TEL;0.0;0.0;0.0
2018-2019;117;157;OTH;527.0;6586.0;6059.0
2018-2019;117;160;ONL;17.0;17.0;0.0
2018-2019;117;160;OTH;904.0;1274.0;370.0
2018-2019;12;694;OTH;6081.0;7036.0;955.0
2018-2019;12;707;OTH;919.0;1015.0;96.0
2018-2019;12;716;OTH;4691.0;4739.0;48.0
2018-2019;122;1837;ONL;1291.0;1352.0;61.0
2018-2019;122;1901;ONL;640.0;650.0;10.0
2018-2019;122;1902;ONL;72.0;88.0;16.0
2018-2019;122;1903;ONL;86.0;88.0;2.0
2018-2019;122;1904;ONL;1975.0;2463.0;488.0
