department_en;org_id;fiscal_yr;service_id;service_name_en;service_name_fr;service_standard_id;service_standard_en;service_standard_fr;volume_meeting_target;total_volume;performance;issue;description_en;action_en;description_fr;action_fr
Canada Energy Regulator;221;2023-2024;2014;Canada Energy Regulator Financial Audit of Regulated Companies.;Vérification des états financiers des sociétés réglementées par la Régie de l'énergie du Canada.;2534;Percentage of draft financial reports will be sent to the audited company within 8 weeks of completing field work;Pourcentage des rapports préliminaires d’audit des états financiers sont transmis aux sociétés concernées dans les 8 semaines suivant la fin des travaux sur le terrain;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;2014;Canada Energy Regulator Financial Audit of Regulated Companies.;Vérification des états financiers des sociétés réglementées par la Régie de l'énergie du Canada.;2535;Percentage of final financial audit reports will be sent to company within 3 weeks of receiving the audited company’s comments on the draft financial report;Pourcentage des rapports finaux d’audit des états financiers sont transmis aux sociétés concernées dans les 3 semaines suivant la réception de leurs commentaires sur le rapport préliminaire;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;290;Processing Applications for Long-term Export License;Traitement des demandes présentées pour licence d'exportation à long terme;247;Percentage of applications made under the National Energy Board Act, Part VI or the Canadian Energy Regulator Act, Part 7 that are processed within 6 months after the day on which an applicant has, in the Board’s/Commission's opinion, provided a complete application for long-term export license.;Pourcentage de demandes présentées aux termes de la partie VI de la loi sur l'Office national de l'énergie ou de la partie 7 de la loi sur la Régie canadienne de l’énergie traitées dans les six mois à compter de la date à laquelle le demandeur a, de l'avis de l’Office ou de la Commission, présenté une demande complète pour une licence d’exportation à long terme.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;296;Processing Landowner Complaints;Règlement des plaintes des propriétaires fonciers;230;Percentage of level 1 complaints resolved or closed within 21 calendar days of received date.;Pourcentage des plaintes relatives à des questions foncières de niveau 1 réglées ou closes dans les 21 jours civils suivant la date de la réception.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;299;Processing Canada Oil and Gas Operations Act Applications;Traitement des demandes aux termes de la Loi sur les opérations pétrolières au Canada;235;Percentage of decisions for well drilling applications rendered within 21 calendar days of receiving a complete application.;Pourcenatge des decisions relatives aux demandes de forage de puits rendues dans les 21 jours civils suivant la réception de la demande complète.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;299;Processing Canada Oil and Gas Operations Act Applications;Traitement des demandes aux termes de la Loi sur les opérations pétrolières au Canada;258;Percentage of decisions for Geological and Geophysical Applications rendered within 30 calendar days of receiving a complete application.;Pourcentage des décisions aux demandes visant des activités géologiques et géophysiques rendues dans les 30 jours civils suivant la réception de la demande complète.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;304;Processing Canada Petroleum Resources Act Applications;Traitement des demandes aux termes de la Loi fédérale sur les hydrocarbures;233;Percentage of decisions for Significant Discovery Applications on frontier lands rendered within 90 calendar days from the day all information is available to begin the evaluation process.;Pourcentage des decisions relatives aux découvertes importantes dans les régions pionnières rendues dans un délai de 90 jours civils à compter de la date à laquelle toute l'information a été obtenue pour entreprendre l'évaluation.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Energy Regulator;221;2023-2024;304;Processing Canada Petroleum Resources Act Applications;Traitement des demandes aux termes de la Loi fédérale sur les hydrocarbures;256;Percent of decisions for Commercial Discovery Applications on frontier lands rendered within 90 calendar days from the day all information is available to begin the evaluation process.;Pourcentage des décisions relatives aux demandes pour des découvertes exploitables dans les régions pionnières rendues dans un délai de 90 jours civils à compter de la date à laquelle toute l'information a été obtenue pour entreprendre l'évaluation.;0;0;;qa_no_ss_volume;There is no volume being reported for this service standard;Remove service standards that do not track performance;Aucune information volumétrique n'est rapportée pour cette norme de service.;Supprimer les normes de service qui ne rapportent pas leur rendement
Canada Revenue Agency;46;2023-2024;1139;"Individual Tax Enquiries 
(Contact Centre)";Demandes de renseignements sur l'impôt des particuliers (Centre de contact);STAN00003912;Our goal is to respond to your call within 15 minutes or less of opting to speak with an agent.;Notre objectif est de répondre à votre appel téléphonique dans un délai de 15 minutes ou moins à partir du moment où vous choisissez de parler à un agent.;0;8545875;0.0;qa_duplicate_stdid;This service standard id has already been assigned to a different standard;Request new service standard IDs from the service policy team, resubmit with the new ID, delete the old record;Cet identifiant de norme de service est déja assigné à une autre norme de service;Demander un nouvel identifiant de norme de service de l'équipe de politique de service, re-soumettre cette rangée avec le nouvel identifiant, supprimer la vielle rangée
Canada Revenue Agency;46;2023-2024;1141;"Business Enquiries 
(Contact Centre)";Demandes de renseignements des entreprises (Centre de contact);STAN00003912;Our goal is to respond to your call within 15 minutes or less of opting to speak with an agent.;Notre objectif est de répondre à votre appel téléphonique dans un délai de 15 minutes ou moins à partir du moment où vous choisissez de parler à un agent.;0;2259557;0.0;qa_duplicate_stdid;This service standard id has already been assigned to a different standard;Request new service standard IDs from the service policy team, resubmit with the new ID, delete the old record;Cet identifiant de norme de service est déja assigné à une autre norme de service;Demander un nouvel identifiant de norme de service de l'équipe de politique de service, re-soumettre cette rangée avec le nouvel identifiant, supprimer la vielle rangée
