service_id;fiscal_yr;program_id;org_id;latest_si_yr;report_yr;measure_yr;planned_actual;spending_fte;measure;valid_program
1000;2018-2019;BWM06;129;;;;;;;False
1001;2022-2023;BGN01;128;2023-2024;2022-2023;2022-2023;actual;spending;70562235632.93;True
1001;2022-2023;BGN01;128;2023-2024;2022-2023;2022-2023;actual;ftes;3679.0;True
1001;2018-2019;BGN01;128;;;;;;;False
1001;2019-2020;BGN01;128;2023-2024;2019-2020;2019-2020;actual;spending;56545113473.08;True
1001;2019-2020;BGN01;128;2023-2024;2019-2020;2019-2020;actual;ftes;2854.0;True
1001;2020-2021;BGN01;128;2023-2024;2020-2021;2020-2021;actual;spending;61421594723.98;True
1001;2020-2021;BGN01;128;2023-2024;2020-2021;2020-2021;actual;ftes;2968.0;True
1001;2021-2022;BGN01;128;2023-2024;2021-2022;2021-2022;actual;spending;62793990287.35;True
1001;2021-2022;BGN01;128;2023-2024;2021-2022;2021-2022;actual;ftes;3205.0;True
1002;2018-2019;BNV01;313;;;;;;;False
1002;2018-2019;BNV02;313;;;;;;;False
1002;2018-2019;BNV03;313;;;;;;;False
1002;2018-2019;BNV04;313;;;;;;;False
1002;2019-2020;BNV01;313;2023-2024;2019-2020;2019-2020;actual;spending;130752821.54;True
1002;2019-2020;BNV01;313;2023-2024;2019-2020;2019-2020;actual;ftes;1296.0;True
1002;2019-2020;BNV02;313;2023-2024;2019-2020;2019-2020;actual;spending;94183795.08;True
1002;2019-2020;BNV02;313;2023-2024;2019-2020;2019-2020;actual;ftes;998.0;True
1002;2019-2020;BNV03;313;2023-2024;2019-2020;2019-2020;actual;spending;69558056.85;True
1002;2019-2020;BNV03;313;2023-2024;2019-2020;2019-2020;actual;ftes;698.0;True
1002;2019-2020;BNV04;313;2023-2024;2019-2020;2019-2020;actual;spending;13946480.37;True
1002;2019-2020;BNV04;313;2023-2024;2019-2020;2019-2020;actual;ftes;1308.0;True
1002;2020-2021;BNV01;313;2023-2024;2020-2021;2020-2021;actual;spending;126630842.31;True
1002;2020-2021;BNV01;313;2023-2024;2020-2021;2020-2021;actual;ftes;1296.0;True
1002;2020-2021;BNV02;313;2023-2024;2020-2021;2020-2021;actual;spending;90528364.54;True
1002;2020-2021;BNV02;313;2023-2024;2020-2021;2020-2021;actual;ftes;893.0;True
1002;2020-2021;BNV03;313;2023-2024;2020-2021;2020-2021;actual;spending;129679698.49;True
1002;2020-2021;BNV03;313;2023-2024;2020-2021;2020-2021;actual;ftes;1079.0;True
1002;2020-2021;BNV04;313;2023-2024;2020-2021;2020-2021;actual;spending;14714582.23;True
1002;2020-2021;BNV04;313;2023-2024;2020-2021;2020-2021;actual;ftes;1340.0;True
1002;2021-2022;BNV01;313;2023-2024;2021-2022;2021-2022;actual;spending;148723023.64;True
1002;2021-2022;BNV01;313;2023-2024;2021-2022;2021-2022;actual;ftes;1466.0;True
1002;2021-2022;BNV02;313;2023-2024;2021-2022;2021-2022;actual;spending;116191123.08;True
1002;2021-2022;BNV02;313;2023-2024;2021-2022;2021-2022;actual;ftes;1265.0;True
1002;2021-2022;BNV03;313;2023-2024;2021-2022;2021-2022;actual;spending;345577258.56;True
1002;2021-2022;BNV03;313;2023-2024;2021-2022;2021-2022;actual;ftes;1557.0;True
1002;2021-2022;BNV04;313;2023-2024;2021-2022;2021-2022;actual;spending;15289882.84;True
1002;2021-2022;BNV04;313;2023-2024;2021-2022;2021-2022;actual;ftes;1542.0;True
1003;2022-2023;BGO01;128;2023-2024;2022-2023;2022-2023;actual;spending;-345998297.97;True
1003;2022-2023;BGO01;128;2023-2024;2022-2023;2022-2023;actual;ftes;13466.0;True
1003;2018-2019;BGO01;128;;;;;;;False
1003;2019-2020;BGO01;128;2023-2024;2019-2020;2019-2020;actual;spending;4836775373.32;True
1003;2019-2020;BGO01;128;2023-2024;2019-2020;2019-2020;actual;ftes;8462.0;True
1003;2020-2021;BGO01;128;2023-2024;2020-2021;2020-2021;actual;spending;27472297028.41;True
1003;2020-2021;BGO01;128;2023-2024;2020-2021;2020-2021;actual;ftes;11246.0;True
1003;2021-2022;BGO01;128;2023-2024;2021-2022;2021-2022;actual;spending;163565971.93;True
1003;2021-2022;BGO01;128;2023-2024;2021-2022;2021-2022;actual;ftes;12524.0;True
1004;2022-2023;BTG03;125;2023-2024;2022-2023;2022-2023;actual;spending;56284022.91;True
1004;2022-2023;BTG03;125;2023-2024;2022-2023;2022-2023;actual;ftes;231.0;True
1004;2018-2019;BTG03;125;;;;;;;False
1004;2019-2020;BTG03;125;2023-2024;2019-2020;2019-2020;actual;spending;37267846.51;True
1004;2019-2020;BTG03;125;2023-2024;2019-2020;2019-2020;actual;ftes;160.0;True
1004;2020-2021;BTG03;125;2023-2024;2020-2021;2020-2021;actual;spending;42897001.97;True
1004;2020-2021;BTG03;125;2023-2024;2020-2021;2020-2021;actual;ftes;176.0;True
1004;2021-2022;BTG03;125;2023-2024;2021-2022;2021-2022;actual;spending;49176745.01;True
1004;2021-2022;BTG03;125;2023-2024;2021-2022;2021-2022;actual;ftes;188.0;True
1005;2022-2023;BGM06;128;2023-2024;2022-2023;2022-2023;actual;spending;913142.17;True
1005;2022-2023;BGM06;128;2023-2024;2022-2023;2022-2023;actual;ftes;3.0;True
1005;2018-2019;BGM06;128;;;;;;;False
1005;2019-2020;BGM06;128;2023-2024;2019-2020;2019-2020;actual;spending;499479.18;True
1005;2019-2020;BGM06;128;2023-2024;2019-2020;2019-2020;actual;ftes;1.0;True
1005;2020-2021;BGM06;128;2023-2024;2020-2021;2020-2021;actual;spending;520607.67;True
1005;2020-2021;BGM06;128;2023-2024;2020-2021;2020-2021;actual;ftes;1.0;True
1005;2021-2022;BGM06;128;2023-2024;2021-2022;2021-2022;actual;spending;607238.85;True
1005;2021-2022;BGM06;128;2023-2024;2021-2022;2021-2022;actual;ftes;2.0;True
1006;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;spending;107685186.36;True
1006;2022-2023;BTF01;125;2023-2024;2022-2023;2022-2023;actual;ftes;622.0;True
1006;2018-2019;BTF01;125;;;;;;;False
1006;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;spending;103176344.14;True
1006;2019-2020;BTF01;125;2023-2024;2019-2020;2019-2020;actual;ftes;498.0;True
1006;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;spending;217921344.75;True
1006;2020-2021;BTF01;125;2023-2024;2020-2021;2020-2021;actual;ftes;521.0;True
1006;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;spending;135223230.36;True
1006;2021-2022;BTF01;125;2023-2024;2021-2022;2021-2022;actual;ftes;629.0;True
1007;2022-2023;BGO20;128;2023-2024;2022-2023;2022-2023;actual;spending;63429736.13;True
1007;2022-2023;BGO20;128;2023-2024;2022-2023;2022-2023;actual;ftes;78.0;True
1007;2018-2019;BGO20;128;;;;;;;False
1007;2019-2020;BGO20;128;2023-2024;2019-2020;2019-2020;actual;spending;98345445.64;True
1007;2019-2020;BGO20;128;2023-2024;2019-2020;2019-2020;actual;ftes;63.0;True
1007;2020-2021;BGO20;128;2023-2024;2020-2021;2020-2021;actual;spending;65092085.14;True
1007;2020-2021;BGO20;128;2023-2024;2020-2021;2020-2021;actual;ftes;56.0;True
1007;2021-2022;BGO20;128;2023-2024;2021-2022;2021-2022;actual;spending;94338544.12;True
1007;2021-2022;BGO20;128;2023-2024;2021-2022;2021-2022;actual;ftes;86.0;True
1008;2022-2023;BTG01;125;2023-2024;2022-2023;2022-2023;actual;spending;94409264.88;True
1008;2022-2023;BTG01;125;2023-2024;2022-2023;2022-2023;actual;ftes;584.0;True
1008;2018-2019;BTG01;125;;;;;;;False
1008;2019-2020;BTG01;125;2023-2024;2019-2020;2019-2020;actual;spending;99450595.21;True
1008;2019-2020;BTG01;125;2023-2024;2019-2020;2019-2020;actual;ftes;446.0;True
1008;2020-2021;BTG01;125;2023-2024;2020-2021;2020-2021;actual;spending;136310479.73;True
1008;2020-2021;BTG01;125;2023-2024;2020-2021;2020-2021;actual;ftes;528.0;True
1008;2021-2022;BTG01;125;2023-2024;2021-2022;2021-2022;actual;spending;106964101.85;True
1008;2021-2022;BTG01;125;2023-2024;2021-2022;2021-2022;actual;ftes;579.0;True
1009;2022-2023;BTG01;125;2023-2024;2022-2023;2022-2023;actual;spending;94409264.88;True
1009;2022-2023;BTG01;125;2023-2024;2022-2023;2022-2023;actual;ftes;584.0;True
1009;2018-2019;BTG01;125;;;;;;;False
1009;2019-2020;BTG01;125;2023-2024;2019-2020;2019-2020;actual;spending;99450595.21;True
1009;2019-2020;BTG01;125;2023-2024;2019-2020;2019-2020;actual;ftes;446.0;True
1009;2020-2021;BTG01;125;2023-2024;2020-2021;2020-2021;actual;spending;136310479.73;True
1009;2020-2021;BTG01;125;2023-2024;2020-2021;2020-2021;actual;ftes;528.0;True
1009;2021-2022;BTG01;125;2023-2024;2021-2022;2021-2022;actual;spending;106964101.85;True
1009;2021-2022;BTG01;125;2023-2024;2021-2022;2021-2022;actual;ftes;579.0;True
1010;2022-2023;BTF03;125;2023-2024;2022-2023;2022-2023;actual;spending;22062399.83;True
1010;2022-2023;BTF03;125;2023-2024;2022-2023;2022-2023;actual;ftes;110.0;True
1010;2018-2019;BTF03;125;;;;;;;False
1010;2019-2020;BTF03;125;2023-2024;2019-2020;2019-2020;actual;spending;17518681.2;True
1010;2019-2020;BTF03;125;2023-2024;2019-2020;2019-2020;actual;ftes;86.0;True
1010;2020-2021;BTF03;125;2023-2024;2020-2021;2020-2021;actual;spending;16886348.34;True
1010;2020-2021;BTF03;125;2023-2024;2020-2021;2020-2021;actual;ftes;90.0;True
1010;2021-2022;BTF03;125;2023-2024;2021-2022;2021-2022;actual;spending;15174649.38;True
1010;2021-2022;BTF03;125;2023-2024;2021-2022;2021-2022;actual;ftes;105.0;True
1011;2022-2023;BTG03;125;2023-2024;2022-2023;2022-2023;actual;spending;56284022.91;True
1011;2022-2023;BTG03;125;2023-2024;2022-2023;2022-2023;actual;ftes;231.0;True
1011;2018-2019;BTG03;125;;;;;;;False
1011;2019-2020;BTG03;125;2023-2024;2019-2020;2019-2020;actual;spending;37267846.51;True
1011;2019-2020;BTG03;125;2023-2024;2019-2020;2019-2020;actual;ftes;160.0;True
1011;2020-2021;BTG03;125;2023-2024;2020-2021;2020-2021;actual;spending;42897001.97;True
1011;2020-2021;BTG03;125;2023-2024;2020-2021;2020-2021;actual;ftes;176.0;True
1011;2021-2022;BTG03;125;2023-2024;2021-2022;2021-2022;actual;spending;49176745.01;True
1011;2021-2022;BTG03;125;2023-2024;2021-2022;2021-2022;actual;ftes;188.0;True
1012;2022-2023;BWM06;129;2023-2024;2022-2023;2022-2023;actual;spending;715870714.39;True
1012;2022-2023;BWM06;129;2023-2024;2022-2023;2022-2023;actual;ftes;49.0;True
1012;2018-2019;BWM06;129;;;;;;;False
