fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2018-2019;129;1000;2018-2019_129_1000;account_registration;NA;1
2022-2023;128;1001;2022-2023_128_1001;account_registration;Y;1
2018-2019;128;1001;2018-2019_128_1001;account_registration;Y;1
2019-2020;128;1001;2019-2020_128_1001;account_registration;Y;1
2020-2021;128;1001;2020-2021_128_1001;account_registration;Y;1
2021-2022;128;1001;2021-2022_128_1001;account_registration;Y;1
2022-2023;313;1002;2022-2023_313_1002;account_registration;Y;1
2018-2019;313;1002;2018-2019_313_1002;account_registration;NA;1
2019-2020;313;1002;2019-2020_313_1002;account_registration;NA;1
2020-2021;313;1002;2020-2021_313_1002;account_registration;NA;1
2021-2022;313;1002;2021-2022_313_1002;account_registration;Y;1
2022-2023;128;1003;2022-2023_128_1003;account_registration;Y;1
2018-2019;128;1003;2018-2019_128_1003;account_registration;Y;1
2019-2020;128;1003;2019-2020_128_1003;account_registration;Y;1
2020-2021;128;1003;2020-2021_128_1003;account_registration;Y;1
2021-2022;128;1003;2021-2022_128_1003;account_registration;Y;1
2022-2023;125;1004;2022-2023_125_1004;account_registration;N;1
2018-2019;125;1004;2018-2019_125_1004;account_registration;NA;1
2019-2020;125;1004;2019-2020_125_1004;account_registration;NA;1
2020-2021;125;1004;2020-2021_125_1004;account_registration;NA;1
2021-2022;125;1004;2021-2022_125_1004;account_registration;N;1
2022-2023;128;1005;2022-2023_128_1005;account_registration;NA;1
2018-2019;128;1005;2018-2019_128_1005;account_registration;NA;1
2019-2020;128;1005;2019-2020_128_1005;account_registration;NA;1
2020-2021;128;1005;2020-2021_128_1005;account_registration;NA;1
2021-2022;128;1005;2021-2022_128_1005;account_registration;NA;1
2022-2023;125;1006;2022-2023_125_1006;account_registration;Y;1
2018-2019;125;1006;2018-2019_125_1006;account_registration;Y;1
2019-2020;125;1006;2019-2020_125_1006;account_registration;Y;1
2020-2021;125;1006;2020-2021_125_1006;account_registration;Y;1
2021-2022;125;1006;2021-2022_125_1006;account_registration;Y;1
2022-2023;128;1007;2022-2023_128_1007;account_registration;NA;1
2018-2019;128;1007;2018-2019_128_1007;account_registration;NA;1
2019-2020;128;1007;2019-2020_128_1007;account_registration;NA;1
2020-2021;128;1007;2020-2021_128_1007;account_registration;NA;1
2021-2022;128;1007;2021-2022_128_1007;account_registration;NA;1
2022-2023;125;1008;2022-2023_125_1008;account_registration;N;1
2018-2019;125;1008;2018-2019_125_1008;account_registration;NA;1
2019-2020;125;1008;2019-2020_125_1008;account_registration;NA;1
2020-2021;125;1008;2020-2021_125_1008;account_registration;NA;1
2021-2022;125;1008;2021-2022_125_1008;account_registration;N;1
2022-2023;125;1009;2022-2023_125_1009;account_registration;NA;1
2018-2019;125;1009;2018-2019_125_1009;account_registration;NA;1
2019-2020;125;1009;2019-2020_125_1009;account_registration;NA;1
2020-2021;125;1009;2020-2021_125_1009;account_registration;NA;1
2021-2022;125;1009;2021-2022_125_1009;account_registration;NA;1
2022-2023;125;1010;2022-2023_125_1010;account_registration;N;1
2018-2019;125;1010;2018-2019_125_1010;account_registration;N;1
2019-2020;125;1010;2019-2020_125_1010;account_registration;NA;1
2020-2021;125;1010;2020-2021_125_1010;account_registration;NA;1
2021-2022;125;1010;2021-2022_125_1010;account_registration;NA;1
2022-2023;125;1011;2022-2023_125_1011;account_registration;NA;1
2018-2019;125;1011;2018-2019_125_1011;account_registration;NA;1
2019-2020;125;1011;2019-2020_125_1011;account_registration;NA;1
2020-2021;125;1011;2020-2021_125_1011;account_registration;NA;1
2021-2022;125;1011;2021-2022_125_1011;account_registration;NA;1
2022-2023;129;1012;2022-2023_129_1012;account_registration;NA;1
2018-2019;129;1012;2018-2019_129_1012;account_registration;NA;1
2019-2020;129;1012;2019-2020_129_1012;account_registration;NA;1
2020-2021;129;1012;2020-2021_129_1012;account_registration;NA;1
2021-2022;129;1012;2021-2022_129_1012;account_registration;NA;1
2022-2023;125;1013;2022-2023_125_1013;account_registration;NA;1
2018-2019;125;1013;2018-2019_125_1013;account_registration;N;1
2019-2020;125;1013;2019-2020_125_1013;account_registration;N;1
2020-2021;125;1013;2020-2021_125_1013;account_registration;N;1
2021-2022;125;1013;2021-2022_125_1013;account_registration;NA;1
2018-2019;129;1014;2018-2019_129_1014;account_registration;NA;1
2022-2023;125;1015;2022-2023_125_1015;account_registration;NA;1
2018-2019;125;1015;2018-2019_125_1015;account_registration;NA;1
2019-2020;125;1015;2019-2020_125_1015;account_registration;NA;1
2020-2021;125;1015;2020-2021_125_1015;account_registration;NA;1
2021-2022;125;1015;2021-2022_125_1015;account_registration;NA;1
2022-2023;125;1016;2022-2023_125_1016;account_registration;N;1
2018-2019;125;1016;2018-2019_125_1016;account_registration;NA;1
2019-2020;125;1016;2019-2020_125_1016;account_registration;NA;1
2020-2021;125;1016;2020-2021_125_1016;account_registration;NA;1
2021-2022;125;1016;2021-2022_125_1016;account_registration;NA;1
2022-2023;125;1017;2022-2023_125_1017;account_registration;N;1
2018-2019;125;1017;2018-2019_125_1017;account_registration;NA;1
2019-2020;125;1017;2019-2020_125_1017;account_registration;NA;1
2020-2021;125;1017;2020-2021_125_1017;account_registration;NA;1
2021-2022;125;1017;2021-2022_125_1017;account_registration;NA;1
2022-2023;125;1018;2022-2023_125_1018;account_registration;N;1
2018-2019;125;1018;2018-2019_125_1018;account_registration;NA;1
2019-2020;125;1018;2019-2020_125_1018;account_registration;NA;1
2020-2021;125;1018;2020-2021_125_1018;account_registration;NA;1
2021-2022;125;1018;2021-2022_125_1018;account_registration;NA;1
2022-2023;129;1019;2022-2023_129_1019;account_registration;NA;1
2018-2019;129;1019;2018-2019_129_1019;account_registration;NA;1
2019-2020;129;1019;2019-2020_129_1019;account_registration;NA;1
2020-2021;129;1019;2020-2021_129_1019;account_registration;NA;1
2021-2022;129;1019;2021-2022_129_1019;account_registration;NA;1
2022-2023;125;1020;2022-2023_125_1020;account_registration;N;1
2018-2019;125;1020;2018-2019_125_1020;account_registration;NA;1
2019-2020;125;1020;2019-2020_125_1020;account_registration;NA;1
2020-2021;125;1020;2020-2021_125_1020;account_registration;NA;1
2021-2022;125;1020;2021-2022_125_1020;account_registration;NA;1
2022-2023;125;1021;2022-2023_125_1021;account_registration;N;1
2018-2019;125;1021;2018-2019_125_1021;account_registration;NA;1
2019-2020;125;1021;2019-2020_125_1021;account_registration;NA;1
2020-2021;125;1021;2020-2021_125_1021;account_registration;NA;1
2021-2022;125;1021;2021-2022_125_1021;account_registration;NA;1
2022-2023;125;1022;2022-2023_125_1022;account_registration;N;1
2018-2019;125;1022;2018-2019_125_1022;account_registration;NA;1
