fiscal_yr;org_id;total_services;services_reviewed_in_past_5_yrs;services_improved_in_past_5_yrs
2018-2019;1;30;0;0
2018-2019;114;3;0;0
2018-2019;117;3;0;0
2018-2019;118;1;0;0
2018-2019;12;5;0;0
2018-2019;122;25;0;0
2018-2019;123;74;0;0
2018-2019;124;1;0;0
2018-2019;125;55;0;0
2018-2019;126;36;0;0
2018-2019;127;84;0;0
2018-2019;128;36;0;0
2018-2019;129;63;0;0
2018-2019;130;44;0;0
2018-2019;132;6;0;0
2018-2019;133;11;0;0
2018-2019;134;33;0;0
2018-2019;135;53;0;0
2018-2019;136;43;0;0
2018-2019;137;33;0;0
2018-2019;138;96;0;0
2018-2019;139;30;0;0
2018-2019;140;4;0;0
2018-2019;141;3;0;0
2018-2019;151;3;0;0
2018-2019;152;7;0;0
2018-2019;174;6;0;0
2018-2019;199;8;0;0
2018-2019;210;2;0;0
2018-2019;218;7;0;0
2018-2019;221;12;0;0
2018-2019;222;4;0;0
2018-2019;223;3;0;0
2018-2019;227;11;0;0
2018-2019;228;15;0;0
2018-2019;230;6;0;0
2018-2019;237;19;0;0
2018-2019;240;6;0;0
2018-2019;247;3;0;0
2018-2019;248;1;0;0
2018-2019;253;7;0;0
2018-2019;26;42;0;0
2018-2019;263;14;0;0
2018-2019;266;2;0;0
2018-2019;278;11;0;0
2018-2019;280;13;0;0
2018-2019;282;25;0;0
2018-2019;295;15;0;0
2018-2019;296;1;0;0
2018-2019;305;26;0;0
2018-2019;306;7;0;0
2018-2019;313;23;0;0
2018-2019;326;7;0;0
2018-2019;333;2;0;0
2018-2019;347;5;0;0
2018-2019;348;65;0;0
2018-2019;46;24;0;0
2018-2019;47;3;0;0
2018-2019;539;4;0;0
2018-2019;552;3;0;0
2018-2019;63;8;0;0
2018-2019;65;6;0;0
2018-2019;69;1;0;0
2018-2019;71;3;0;0
2018-2019;74;7;0;0
2018-2019;76;2;0;0
2018-2019;86;3;0;0
2018-2019;87;7;0;0
2018-2019;93;4;0;0
2018-2019;95;11;0;0
2018-2019;98;3;0;0
2018-2019;99;5;0;0
2019-2020;1;35;0;0
2019-2020;114;3;0;0
2019-2020;117;3;0;0
2019-2020;118;1;0;0
2019-2020;12;5;0;0
2019-2020;122;27;0;0
2019-2020;123;72;0;0
2019-2020;124;3;0;0
2019-2020;125;64;0;0
2019-2020;126;35;0;0
