department_en;org_id;fiscal_yr;service_id;service_name_en;service_name_fr;program_id;issue;description_en;action_en;description_fr;action_fr;context
Agriculture and Agri-Food Canada;1;2023-2024;2224;AAFC Contact Centre;Centre d’appels de la Direction des programmes du revenu agricole (DPRA);BWN02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 31689.0
Atlantic Canada Opportunities Agency;12;2023-2024;716;Business Information Services;Service d'information aux entreprises de l'APECA;BED01,BED02,BED03,BED04,BED05,BED06,BED07;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 6783.0
Canada Revenue Agency;46;2023-2024;1139;Individual Tax Enquiries (Contact Centre);Demandes de renseignements sur l'impôt des particuliers (Centre de contact);BRA01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 8545875.0
Canada Revenue Agency;46;2023-2024;1141;Business Enquiries (Contact Centre);Demandes de renseignements des entreprises (Centre de contact);BRA01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 2259557.0
Canada Revenue Agency;46;2023-2024;1143;Benefit Enquiries (Contact Centre);Demandes de renseignements sur les prestations (Centre de contact);BRB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 1678800.0
Canada Revenue Agency;46;2023-2024;1146;Disability Tax Credit;Crédit d'impôt pour personnes handicapées;BRB01;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 300880.0
Canada Revenue Agency;46;2023-2024;3719;GST/HST rulings and interpretations - telephone enquiries;Décisions et interprétations en matière de TPS/TVH – Demandes de renseignements téléphoniques;BRA11;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 52808.0
Canada Revenue Agency;46;2023-2024;3720;Charities telephone enquiries;Renseignements téléphoniques sur les organismes de bienfaisance (complexes);BRA09;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 52751.0
Canada Revenue Agency;46;2023-2024;SRV02817;Debt Management Call Centre;Centre d’appels de la gestion des créances;BRA03;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 2234718.0
Canadian Food Inspection Agency;65;2023-2024;3705;Import Admissibility;Admissibilité à l'importation;BUG04,BUH08,BUH12;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BUG04: Canada Border Services Agency/Agence des services frontaliers du Canada
Canadian Food Inspection Agency;65;2023-2024;3707;Media Relations;Relations avec les médias;BVY02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BVY02: Public Services and Procurement Canada/Services publics et Approvisionnement Canada
Canadian Northern Economic Development Agency;86;2023-2024;1533;Access to Information and Privacy;Accès à l’information et protection des renseignements personnels;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
Civilian Review and Complaints Commission for the RCMP;297;2023-2024;2151;Request a Review;Demande d'examen;BXF01,BXF02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 246.0
Communications Security Establishment Canada;110;2023-2024;0849;Media Relations;Bureau des relations avec les médias;ISS02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 251.0
Communications Security Establishment Canada;110;2023-2024;3181;Cyber Defence Services;Services de cyberdéfense;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3403;Collaboration with Priority Critical Infrastructure Owners and Operators;Collaboration avec des propriétaires et exploitants d’infrastructures essentielles prioritaires;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3403;Collaboration with Priority Critical Infrastructure Owners and Operators;Collaboration avec des propriétaires et exploitants d’infrastructures essentielles prioritaires;BUM02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 252.0
Communications Security Establishment Canada;110;2023-2024;3404;Incident Handling and Support;Intervention et soutien en cas d’incident;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3408;Service Coordination;Coordination des services;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3410;Cyber Threat Surface Analysis;Analyse de l’exposition aux cybermenaces;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3410;Cyber Threat Surface Analysis;Analyse de l’exposition aux cybermenaces;BUM02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 809.0
Communications Security Establishment Canada;110;2023-2024;3411;Cybersecurity Advice & Guidance - System Security Architecture;Avis et conseils en matière de cybersécurité – Architecture de sécurité du système;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3413;Access to Information and Privacy - Privacy Act;Accès à l’information et protection des renseignements personnels  - Loi sur la protection des renseignements personnels;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
Communications Security Establishment Canada;110;2023-2024;3414;Access to Information and Privacy - Access to Information Act;Accès à l’information et protection des renseignements personnels - Loi sur l'accès à l'information;BSJ03;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;BSJ03: Library and Archives Canada/Bibliothèque et Archives Canada
Communications Security Establishment Canada;110;2023-2024;3643;Cyber Centre Learning Hub - Learning Management System;Carrefour de l’apprentissage du Centre pour la cybersécurité – Système de gestion de l’apprentissage;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3644;Cyber Centre Learning Hub - Curriculum Review;Carrefour de l’apprentissage du Centre pour la cybersécurité – Examen des programmes;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3645;Advice and Guidance - Supply Chain Integrity;Avis et conseils en matière de cybersécurité – Architecture de sécurité du système;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3646;Compliance Reviews / Certifications - Cryptographic Module Validation Program;Certifications/examens de conformité – Programme de validation des modules cryptographiques;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3646;Compliance Reviews / Certifications - Cryptographic Module Validation Program;Certifications/examens de conformité – Programme de validation des modules cryptographiques;BUM02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 365.0
Communications Security Establishment Canada;110;2023-2024;3647;Compliance Reviews / Certifications - Common Criteria Recognition Arrangement (CCRA);Certifications/examens de conformité – Arrangement de reconnaissance des Critères communs;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Communications Security Establishment Canada;110;2023-2024;3647;Compliance Reviews / Certifications - Common Criteria Recognition Arrangement (CCRA);Certifications/examens de conformité – Arrangement de reconnaissance des Critères communs;BUM02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 365.0
Communications Security Establishment Canada;110;2023-2024;3648;Cyber Centre Learning Hub - Custom Course Development;Carrefour de l’apprentissage du Centre pour la cybersécurité – Élaboration de cours sur mesure;BUM02;qa_program_id;The Program codes (program_id) listed do not belong to this organization;Remove the Program codes (program_id) that do not appear on your organization's Chart of Accounts;Les codes de programme (program id) rapportés n'appartiennent pas à cet organisme;Supprimer les codes de programme qui ne figurent pas dans le Plan comptable de votre organisme.;
Correctional Service Canada;117;2023-2024;160;Information Services;Services d'information;ISS02;qa_ss_vol_without_si_vol;The associated service standards report interaction volume information, but not at the service level;Include interaction volumes at the overall service level;La norme de service associée rapporte des informations volumétriques, mais le service comme tel n'a aucune donnée volumétrique;Inclure les données volumétriques au niveau du service;service applications: 0, standard volumes: 447.0
