key;field;base_value;comp_value;section;side;base_name;comp_name;key_name
2022-2023_86_657_1534;performance;0.6497;0.6496999999999999;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1001_3070;performance;0.9751;0.9812;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1001_3070;total_volume;6720000000.0;6720000.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1001_3070;volume_meeting_target;6553000000.0;6594000.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1003_3071;total_volume;21438000000.0;21438000.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1003_3071;volume_meeting_target;20202000000.0;20202000.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1003_936;performance;1.0;0.531;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1003_936;target_met;Y;N;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1003_936;volume_meeting_target;58088.0;30847.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1292_1233;performance;0.9865;0.989;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1292_1233;volume_meeting_target;1694559.0;1698910.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1292_2848;performance;0.9718;0.9488;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1292_2848;volume_meeting_target;3585.0;3500.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1292_STAN00005641;performance;0.9263;0.948;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_1292_STAN00005641;volume_meeting_target;776594.0;794745.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_7_1102;performance;0.4944;0.9432;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_7_1102;target_met;N;Y;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
2023-2024_128_7_1102;total_volume;276134.0;345947.0;diffs;;2025-03-01_ss;ss;fy_org_id_service_id_std_id
