service_id;service_name_en;service_name_fr;department_en;department_fr;org_id;fiscal_yr_first;fiscal_yr_latest;service_scope_ext_or_ent
1000;Reconciliation;Réconciliation;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019;True
1010;Fisheries and Aquaculture Clean Technology Adoption Program (FACTAP);Programme d'adoption des technologies propres pour les pêches et l'aquaculture (PTPPA);Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1014;National Indigenous Representative Organizations;Organisations autochtones représentatives nationale;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;129;2018-2019;2018-2019;True
1015;MPA Activity Plan Application Process - Anguniaqvia niqiqyuam MPA;Processus de demande d'activités pour la ZPM -  Anguniaqvia niqiqyuam;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1016;MPA Activity Plan Application Process - SGaan Kinghlas-Bowie Seamount MPA;Processus de demande d'activités pour la ZPM - Mont sous-marin SGaan Kinghlas-Bowie;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1017;MPA Activity Plan Application Process - Eastport MPA;Processus de demande d'activités pour la ZPM - Eastport;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1018;MPA Activity Plan Application Process - Endeavour Hydrothermal Vents;Processus de demande d'activités pour la ZPM - Champ hydrothermal Endeavour;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1020;MPA Activity Plan Application Process - Gilbert Bay MPA;Processus de demande d'activités pour la ZPM - Baie Gilbert;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1021;MPA Activity Plan Application Process - Gully MPA;Processus de demande d'activités pour la ZPM - Gully;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
1022;MPA Activity Plan Application Process - Hecate Strait/Queen Charlotte Sound Glas;Processus de demande d'activités pour la ZPM - Détroit d'Hécate;Fisheries and Oceans Canada;Pêches et Océans Canada;125;2018-2019;2022-2023;True
