fiscal_yr;org_id;department_en;department_fr;online_e2e_count;service_count;online_e2e_pc;num_applications_online;num_applications_by_phone;num_applications_by_mail;num_applications_in_person;num_applications_by_other_fax_and_email;service_with_std_count;service_count;services_with_standards_percentage;service_standard_met;service_standard_count;standards_met_percentage
2018-2019;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;0;4;0.0;26.0;0.0;26.0;0.0;47.0;2;4;0.5;1.0;2.0;0.5
2018-2019;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;9;30;0.3;107987.0;0.0;0.0;34.0;20078.0;30;30;1.0;88.0;112.0;0.7857142857142857
2018-2019;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;1;5;0.2;25.0;0.0;997.0;0.0;0.0;3;5;0.6;4.0;7.0;0.5714285714285714
2018-2019;26;Canada Border Services Agency;Agence des services frontaliers du Canada;2;42;0.047619047619047616;21157216.0;0.0;369363.0;105140195.0;11629.0;27;42;0.6428571428571429;26.0;43.0;0.6046511627906976
2018-2019;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;0;3;0.0;937.0;0.0;77.0;27.0;444.0;2;3;0.6666666666666666;1.0;7.0;0.14285714285714285
2018-2019;221;Canada Energy Regulator;Régie de l'énergie du Canada;2;12;0.16666666666666666;374.0;0.0;20.0;0.0;972.0;12;12;1.0;12.0;13.0;0.9230769230769231
2018-2019;46;Canada Revenue Agency;Agence du revenu du Canada;6;24;0.25;107015349.0;0.0;30223638.0;1642.0;54339.0;10;24;0.4166666666666667;7.0;16.0;0.4375
2018-2019;47;Canada School of Public Service;École de la fonction publique du Canada;1;3;0.3333333333333333;0.0;0.0;0.0;13.0;418.0;2;3;0.6666666666666666;3.0;4.0;0.75
2018-2019;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;4;6;0.6666666666666666;5360.0;0.0;0.0;0.0;466725.0;6;6;1.0;7.0;8.0;0.875
2018-2019;69;Canadian Grain Commission;Commission canadienne des grains;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0.0;;;
2018-2019;122;Canadian Heritage;Patrimoine canadien;0;25;0.0;4071.0;0.0;2669.0;0.0;6776.0;23;25;0.92;45.0;48.0;0.9375
2018-2019;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;0;3;0.0;1747.0;0.0;1013.0;0.0;892.0;0;3;0.0;;;
2018-2019;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;2;7;0.2857142857142857;26746.0;0.0;0.0;0.0;46474.0;1;7;0.14285714285714285;3.0;3.0;1.0
2018-2019;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;0;2;0.0;100.0;0.0;0.0;4.0;202.0;2;2;1.0;2.0;2.0;1.0
2018-2019;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;1;3;0.3333333333333333;0.0;0.0;0.0;0.0;201.0;2;3;0.6666666666666666;3.0;4.0;0.75
2018-2019;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;0;7;0.0;0.0;0.0;261.0;0.0;3599.0;7;7;1.0;11.0;11.0;1.0
2018-2019;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;1;4;0.25;74837.0;0.0;31.0;0.0;0.0;4;4;1.0;1.0;3.0;0.3333333333333333
2018-2019;95;Canadian Space Agency;Agence spatiale canadienne;2;11;0.18181818181818182;138.0;0.0;5.0;0.0;1744.0;10;11;0.9090909090909091;4.0;14.0;0.2857142857142857
2018-2019;99;Canadian Transportation Agency;Office des transports du Canada;0;5;0.0;8372.0;0.0;0.0;0.0;8922.0;3;5;0.6;1.0;5.0;0.2
2018-2019;114;Copyright Board Canada;Commission du droit d'auteur Canada;0;3;0.0;1.0;0.0;0.0;0.0;101.0;2;3;0.6666666666666666;0.0;2.0;0.0
2018-2019;117;Correctional Service Canada;Service correctionnel Canada;0;3;0.0;0.0;0.0;6586.0;0.0;0.0;3;3;1.0;1.0;4.0;0.25
2018-2019;118;Courts Administration Service;Service administratif des tribunaux judiciaires;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;0.0;1.0;0.0
2018-2019;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;10;63;0.15873015873015872;1038.0;0.0;46194.0;145498.0;14184.0;21;63;0.3333333333333333;12.0;20.0;0.6
2018-2019;124;Department of Finance Canada;Ministère des Finances Canada;0;1;0.0;1331.0;0.0;0.0;0.0;0.0;1;1;1.0;1.0;1.0;1.0
2018-2019;348;Department of Indigenous Services;Ministère des Services aux Autochtones;5;65;0.07692307692307693;856.0;0.0;73.0;1244.0;25266930.0;3;65;0.046153846153846156;1.0;5.0;0.2
2018-2019;132;Department of Justice Canada;Ministère de la Justice Canada;1;6;0.16666666666666666;1442.0;0.0;49.0;0.0;417.0;6;6;1.0;16.0;16.0;1.0
2018-2019;128;Employment and Social Development Canada;Emploi et Développement social Canada;12;36;0.3333333333333333;5476561.0;0.0;2330202.0;11853020.0;3173484.0;36;36;1.0;57.0;75.0;0.76
2018-2019;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;5;33;0.15151515151515152;59129.0;0.0;9001.0;386.0;183625.0;26;33;0.7878787878787878;51.0;72.0;0.7083333333333334
2018-2019;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;0;4;0.0;1.0;0.0;0.0;0.0;0.0;0;4;0.0;;;
2018-2019;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;0;3;0.0;10.0;0.0;0.0;0.0;2841.0;2;3;0.6666666666666666;2.0;2.0;1.0
2018-2019;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;2;7;0.2857142857142857;28123402.0;0.0;5.0;0.0;3349.0;5;7;0.7142857142857143;5.0;8.0;0.625
2018-2019;125;Fisheries and Oceans Canada;Pêches et Océans Canada;3;55;0.05454545454545454;705464.0;0.0;1435.0;10.0;2047.0;53;55;0.9636363636363636;62.0;91.0;0.6813186813186813
2018-2019;126;Global Affairs Canada;Affaires mondiales Canada;7;36;0.19444444444444445;1022.0;0.0;0.0;0.0;18.0;4;36;0.1111111111111111;0.0;2.0;0.0
2018-2019;127;Health Canada;Santé Canada;3;84;0.03571428571428571;15103.0;0.0;84538.0;284.0;468287.0;47;84;0.5595238095238095;48.0;66.0;0.7272727272727273
2018-2019;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;2;19;0.10526315789473684;196.0;0.0;0.0;0.0;479.0;9;19;0.47368421052631576;15.0;21.0;0.7142857142857143
2018-2019;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;6;0.16666666666666666;0.0;0.0;5715.0;0.0;0.0;1;6;0.16666666666666666;1.0;1.0;1.0
2018-2019;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;21;74;0.28378378378378377;7477815.0;0.0;7953748.0;995574.0;27715.0;25;74;0.33783783783783783;26.0;36.0;0.7222222222222222
2018-2019;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;3;8;0.375;0.0;0.0;0.0;0.0;103.0;5;8;0.625;4.0;6.0;0.6666666666666666
2018-2019;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;12;44;0.2727272727272727;3539040.0;0.0;38889.0;0.0;11138.0;37;44;0.8409090909090909;85.0;115.0;0.7391304347826086
