org_id;latest_si_yr;program_id;report_yr;measure_yr;planned_actual;spending_fte;measure;si_link_yr
1;2024-2025;BWN01;2020-2021;2020-2021;actual;spending;49132118.39;2020-2021
1;2024-2025;BWN02;2020-2021;2020-2021;actual;spending;41521153.6;2020-2021
1;2024-2025;BWN03;2020-2021;2020-2021;actual;spending;3124222.16;2020-2021
1;2024-2025;BWN04;2020-2021;2020-2021;actual;spending;522110099.94;2020-2021
1;2024-2025;BWN05;2020-2021;2020-2021;actual;spending;1368492.98;2020-2021
1;2024-2025;BWN06;2020-2021;2020-2021;actual;spending;4041052.07;2020-2021
1;2024-2025;BWN07;2020-2021;2020-2021;actual;spending;78341136.73;2020-2021
1;2024-2025;BWN09;2020-2021;2020-2021;actual;spending;205754040.01;2020-2021
1;2024-2025;BWO01;2020-2021;2020-2021;actual;spending;378573406.83;2020-2021
1;2024-2025;BWO02;2020-2021;2020-2021;actual;spending;66199484.99;2020-2021
1;2024-2025;BWO03;2020-2021;2020-2021;actual;spending;35723614.48;2020-2021
1;2024-2025;BWO04;2020-2021;2020-2021;actual;spending;5712118.97;2020-2021
1;2024-2025;BWO05;2020-2021;2020-2021;actual;spending;118915408.13;2020-2021
1;2024-2025;BWO06;2020-2021;2020-2021;actual;spending;116926443.92;2020-2021
1;2024-2025;BWP01;2020-2021;2020-2021;actual;spending;230929126.33;2020-2021
1;2024-2025;BWP02;2020-2021;2020-2021;actual;spending;166589608.71;2020-2021
1;2024-2025;BWP03;2020-2021;2020-2021;actual;spending;22278681.81;2020-2021
1;2024-2025;BWP04;2020-2021;2020-2021;actual;spending;648855740.55;2020-2021
1;2024-2025;BWP05;2020-2021;2020-2021;actual;spending;5824991.1;2020-2021
1;2024-2025;BWP06;2020-2021;2020-2021;actual;spending;30256230.42;2020-2021
1;2024-2025;BWP07;2020-2021;2020-2021;actual;spending;2635127.47;2020-2021
1;2024-2025;BWP08;2020-2021;2020-2021;actual;spending;9328111.38;2020-2021
1;2024-2025;BWP09;2020-2021;2020-2021;actual;spending;13748277.65;2020-2021
1;2024-2025;BWP10;2020-2021;2020-2021;actual;spending;26841608.29;2020-2021
1;2024-2025;BWP11;2020-2021;2020-2021;actual;spending;-11915931.47;2020-2021
1;2024-2025;BWP12;2020-2021;2020-2021;actual;spending;72586283.52;2020-2021
1;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;45762679.87;2020-2021
1;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;13134549.4;2020-2021
1;2024-2025;ISS03;2020-2021;2020-2021;actual;spending;4517473.74;2020-2021
1;2024-2025;ISS04;2020-2021;2020-2021;actual;spending;25635836.42;2020-2021
1;2024-2025;ISS05;2020-2021;2020-2021;actual;spending;20389540.6;2020-2021
1;2024-2025;ISS06;2020-2021;2020-2021;actual;spending;18939192.97;2020-2021
1;2024-2025;ISS07;2020-2021;2020-2021;actual;spending;51656771.24;2020-2021
1;2024-2025;ISS08;2020-2021;2020-2021;actual;spending;10228042.73;2020-2021
1;2024-2025;ISS09;2020-2021;2020-2021;actual;spending;323427.12;2020-2021
1;2024-2025;ISS0Z;2020-2021;2020-2021;actual;spending;1627231.4;2020-2021
12;2024-2025;BED01;2020-2021;2020-2021;actual;spending;125967182.68;2020-2021
12;2024-2025;BED02;2020-2021;2020-2021;actual;spending;57848085.86;2020-2021
12;2024-2025;BED03;2020-2021;2020-2021;actual;spending;38143196.44;2020-2021
12;2024-2025;BED04;2020-2021;2020-2021;actual;spending;50379061.56;2020-2021
12;2024-2025;BED05;2020-2021;2020-2021;actual;spending;245917056.48;2020-2021
12;2024-2025;BED06;2020-2021;2020-2021;actual;spending;13618402.36;2020-2021
12;2024-2025;BED07;2020-2021;2020-2021;actual;spending;13163971.21;2020-2021
12;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;30008659.47;2020-2021
26;2024-2025;BUF01;2020-2021;2020-2021;actual;spending;70620698.85;2020-2021
26;2024-2025;BUF02;2020-2021;2020-2021;actual;spending;93063335.71;2020-2021
26;2024-2025;BUF03;2020-2021;2020-2021;actual;spending;14101824.13;2020-2021
26;2024-2025;BUF04;2020-2021;2020-2021;actual;spending;535971121.56;2020-2021
26;2024-2025;BUF05;2020-2021;2020-2021;actual;spending;432160413.44;2020-2021
26;2024-2025;BUF06;2020-2021;2020-2021;actual;spending;9092287.9;2020-2021
26;2024-2025;BUF07;2020-2021;2020-2021;actual;spending;11910057.07;2020-2021
26;2024-2025;BUF08;2020-2021;2020-2021;actual;spending;10305398.83;2020-2021
26;2024-2025;BUF09;2020-2021;2020-2021;actual;spending;19437620.96;2020-2021
26;2024-2025;BUF10;2020-2021;2020-2021;actual;spending;51775764.97;2020-2021
26;2024-2025;BUF11;2020-2021;2020-2021;actual;spending;166095745.32;2020-2021
26;2024-2025;BUF12;2020-2021;2020-2021;actual;spending;38287862.94;2020-2021
26;2024-2025;BUG01;2020-2021;2020-2021;actual;spending;67176271.14;2020-2021
26;2024-2025;BUG02;2020-2021;2020-2021;actual;spending;64408133.98;2020-2021
26;2024-2025;BUG03;2020-2021;2020-2021;actual;spending;41463838.99;2020-2021
26;2024-2025;BUG04;2020-2021;2020-2021;actual;spending;37295223.22;2020-2021
26;2024-2025;BUG05;2020-2021;2020-2021;actual;spending;40789889.68;2020-2021
