org_id;program_id;report_yr;measure_yr;planned_actual;ftes;spending;si_link_yr
1;BWN01;2018-2019;2018-2019;actual;183.0;52360723.82;2018-2019
1;BWN01;2019-2020;2019-2020;actual;191.0;58764607.74;2019-2020
1;BWN01;2020-2021;2020-2021;actual;190.0;49132118.39;2020-2021
1;BWN01;2021-2022;2021-2022;actual;181.0;47150140.18;2021-2022
1;BWN01;2022-2023;2022-2023;actual;183.0;56134845.18;2022-2023
1;BWN01;2023-2024;2023-2024;actual;189.0;56104860.49;2023-2024
1;BWN01;2024-2025;2024-2025;planned;193.0;55423192.0;2023-2024
1;BWN01;2024-2025;2025-2026;planned;192.0;55731994.0;2023-2024
1;BWN01;2024-2025;2026-2027;planned;191.0;55537114.0;2023-2024
1;BWN02;2018-2019;2018-2019;actual;184.0;34247456.65;2018-2019
1;BWN02;2019-2020;2019-2020;actual;181.0;35121301.31;2019-2020
1;BWN02;2020-2021;2020-2021;actual;191.0;41521153.6;2020-2021
1;BWN02;2021-2022;2021-2022;actual;218.0;59817640.84;2021-2022
1;BWN02;2022-2023;2022-2023;actual;207.0;119706407.59;2022-2023
1;BWN02;2023-2024;2023-2024;actual;198.0;126740100.6;2023-2024
1;BWN02;2024-2025;2024-2025;planned;201.0;51621242.0;2023-2024
1;BWN02;2024-2025;2025-2026;planned;191.0;39616694.0;2023-2024
1;BWN02;2024-2025;2026-2027;planned;190.0;39425257.0;2023-2024
1;BWN03;2018-2019;2018-2019;actual;17.0;2520779.52;2018-2019
1;BWN03;2019-2020;2019-2020;actual;19.0;2855295.43;2019-2020
1;BWN03;2020-2021;2020-2021;actual;20.0;3124222.16;2020-2021
1;BWN03;2021-2022;2021-2022;actual;18.0;2637987.65;2021-2022
1;BWN03;2022-2023;2022-2023;actual;18.0;3181031.44;2022-2023
1;BWN03;2023-2024;2023-2024;actual;19.0;3200563.05;2023-2024
1;BWN03;2024-2025;2024-2025;planned;20.0;3288502.0;2023-2024
1;BWN03;2024-2025;2025-2026;planned;20.0;3273569.0;2023-2024
1;BWN03;2024-2025;2026-2027;planned;20.0;3235114.0;2023-2024
1;BWN04;2018-2019;2018-2019;actual;46.0;99881679.91;2018-2019
1;BWN04;2019-2020;2019-2020;actual;49.0;428208030.88;2019-2020
1;BWN04;2020-2021;2020-2021;actual;36.0;522110099.94;2020-2021
1;BWN04;2021-2022;2021-2022;actual;40.0;540234533.3;2021-2022
1;BWN04;2022-2023;2022-2023;actual;51.0;576088014.78;2022-2023
1;BWN04;2023-2024;2023-2024;actual;70.0;476920882.89;2023-2024
1;BWN04;2024-2025;2024-2025;planned;76.0;501120588.0;2023-2024
1;BWN04;2024-2025;2025-2026;planned;74.0;511936310.0;2023-2024
1;BWN04;2024-2025;2026-2027;planned;74.0;406760850.0;2023-2024
1;BWN05;2018-2019;2018-2019;actual;31.0;-317141.62;2018-2019
1;BWN05;2019-2020;2019-2020;actual;35.0;225726.16;2019-2020
1;BWN05;2020-2021;2020-2021;actual;30.0;1368492.98;2020-2021
1;BWN05;2021-2022;2021-2022;actual;30.0;430721.38;2021-2022
1;BWN05;2022-2023;2022-2023;actual;31.0;-68498.68;2022-2023
1;BWN05;2023-2024;2023-2024;actual;31.0;1266965.86;2023-2024
1;BWN05;2024-2025;2024-2025;planned;33.0;1848437.0;2023-2024
1;BWN05;2024-2025;2025-2026;planned;33.0;2430112.0;2023-2024
1;BWN05;2024-2025;2026-2027;planned;33.0;2997913.0;2023-2024
1;BWN06;2018-2019;2018-2019;actual;36.0;38523974.13;2018-2019
1;BWN06;2019-2020;2019-2020;actual;34.0;3867939.2;2019-2020
1;BWN06;2020-2021;2020-2021;actual;23.0;4041052.07;2020-2021
1;BWN07;2018-2019;2018-2019;actual;5.0;55780799.28;2018-2019
1;BWN07;2019-2020;2019-2020;actual;4.0;66817899.91;2019-2020
1;BWN07;2020-2021;2020-2021;actual;5.0;78341136.73;2020-2021
1;BWN07;2021-2022;2021-2022;actual;5.0;77553416.25;2021-2022
1;BWN07;2022-2023;2022-2023;actual;4.0;72326605.06;2022-2023
1;BWN07;2023-2024;2023-2024;actual;2.0;77373870.48;2023-2024
1;BWN07;2024-2025;2024-2025;planned;2.0;84315441.0;2023-2024
1;BWN07;2024-2025;2025-2026;planned;2.0;84315441.0;2023-2024
1;BWN07;2024-2025;2026-2027;planned;2.0;84315441.0;2023-2024
1;BWN08;2018-2019;2018-2019;actual;15.0;-2313624.59;2018-2019
1;BWN09;2019-2020;2019-2020;actual;6.0;26563247.78;2019-2020
1;BWN09;2020-2021;2020-2021;actual;24.0;205754040.01;2020-2021
1;BWN09;2021-2022;2021-2022;actual;31.0;156531542.21;2021-2022
1;BWN09;2022-2023;2022-2023;actual;32.0;27675965.48;2022-2023
1;BWN09;2023-2024;2023-2024;actual;31.0;32610316.05;2023-2024
1;BWN09;2024-2025;2024-2025;planned;0.0;0.0;2023-2024
1;BWN09;2024-2025;2025-2026;planned;0.0;0.0;2023-2024
1;BWN09;2024-2025;2026-2027;planned;0.0;0.0;2023-2024
1;BWN10;2022-2023;2022-2023;actual;11.0;1191916.11;2022-2023
1;BWN10;2023-2024;2023-2024;actual;11.0;1357264.94;2023-2024
1;BWN10;2024-2025;2024-2025;planned;10.0;3183503.0;2023-2024
1;BWN10;2024-2025;2025-2026;planned;10.0;1402679.0;2023-2024
1;BWN10;2024-2025;2026-2027;planned;10.0;1402391.0;2023-2024
1;BWO01;2018-2019;2018-2019;actual;2404.0;363968493.59;2018-2019
1;BWO01;2019-2020;2019-2020;actual;2408.0;366089881.92;2019-2020
1;BWO01;2020-2021;2020-2021;actual;2360.0;378573406.83;2020-2021
1;BWO01;2021-2022;2021-2022;actual;2336.0;382798012.48;2021-2022
1;BWO01;2022-2023;2022-2023;actual;2326.0;387711631.1;2022-2023
1;BWO01;2023-2024;2023-2024;actual;2327.0;434105283.53;2023-2024
1;BWO01;2024-2025;2024-2025;planned;2281.0;373074790.0;2023-2024
1;BWO01;2024-2025;2025-2026;planned;2281.0;370656473.0;2023-2024
1;BWO01;2024-2025;2026-2027;planned;2281.0;368136849.0;2023-2024
1;BWO02;2018-2019;2018-2019;actual;175.0;62551943.75;2018-2019
1;BWO02;2019-2020;2019-2020;actual;188.0;78599953.44;2019-2020
1;BWO02;2020-2021;2020-2021;actual;181.0;66199484.99;2020-2021
1;BWO02;2021-2022;2021-2022;actual;204.0;80832095.55;2021-2022
1;BWO02;2022-2023;2022-2023;actual;182.0;64474988.18;2022-2023
1;BWO02;2023-2024;2023-2024;actual;126.0;37495415.56;2023-2024
1;BWO02;2024-2025;2024-2025;planned;185.0;89462791.0;2023-2024
1;BWO02;2024-2025;2025-2026;planned;184.0;89140326.0;2023-2024
1;BWO02;2024-2025;2026-2027;planned;183.0;88523941.0;2023-2024
1;BWO03;2018-2019;2018-2019;actual;20.0;27019057.88;2018-2019
1;BWO03;2019-2020;2019-2020;actual;20.0;25416329.73;2019-2020
1;BWO03;2020-2021;2020-2021;actual;29.0;35723614.48;2020-2021
1;BWO03;2021-2022;2021-2022;actual;37.0;28082207.27;2021-2022
1;BWO03;2022-2023;2022-2023;actual;29.0;14615509.13;2022-2023
1;BWO03;2023-2024;2023-2024;actual;31.0;15954201.77;2023-2024
1;BWO03;2024-2025;2024-2025;planned;32.0;20456733.0;2023-2024
1;BWO03;2024-2025;2025-2026;planned;32.0;20456733.0;2023-2024
1;BWO03;2024-2025;2026-2027;planned;32.0;13617732.0;2023-2024
1;BWO04;2018-2019;2018-2019;actual;10.0;8325972.71;2018-2019
1;BWO04;2019-2020;2019-2020;actual;8.0;6388232.24;2019-2020
1;BWO04;2020-2021;2020-2021;actual;9.0;5712118.97;2020-2021
1;BWO04;2021-2022;2021-2022;actual;15.0;17169442.8;2021-2022
1;BWO04;2022-2023;2022-2023;actual;51.0;168866419.89;2022-2023
1;BWO04;2023-2024;2023-2024;actual;77.0;210374309.26;2023-2024
1;BWO04;2024-2025;2024-2025;planned;82.0;244852628.0;2023-2024
1;BWO04;2024-2025;2025-2026;planned;82.0;241631991.0;2023-2024
1;BWO04;2024-2025;2026-2027;planned;65.0;154216523.0;2023-2024
1;BWO05;2018-2019;2018-2019;actual;10.0;4578843.84;2018-2019
1;BWO05;2019-2020;2019-2020;actual;9.0;1720945.88;2019-2020
1;BWO05;2020-2021;2020-2021;actual;12.0;118915408.13;2020-2021
1;BWO05;2021-2022;2021-2022;actual;12.0;31745736.92;2021-2022
1;BWO05;2022-2023;2022-2023;actual;6.0;12619843.58;2022-2023
1;BWO05;2023-2024;2023-2024;actual;7.0;11483450.7;2023-2024
