si_link_yr;organization_id;program_id;service_id;fiscal_yr;core_responsibility_en;report_yr;measure_yr;planned_actual;ftes;spending
2019;129;BWM06;1000;2018-2019;Rights and Self-Determination;2019.0;2019.0;actual;7.0;36902725.77
2023;128;BGN01;1001;2022-2023;Pensions and Benefits;2023.0;2023.0;actual;3679.0;70562235632.93
2023;128;BGN01;1001;2022-2023;Pensions and Benefits;2024.0;2024.0;planned;3767.0;77052077983.0
2023;128;BGN01;1001;2022-2023;Pensions and Benefits;2025.0;2025.0;planned;3829.0;81584219815.0
2023;128;BGN01;1001;2022-2023;Pensions and Benefits;2025.0;2026.0;planned;2641.0;86465675591.0
2023;128;BGN01;1001;2022-2023;Pensions and Benefits;2025.0;2027.0;planned;1656.0;91590537181.0
2019;128;BGN01;1001;2018-2019;Pensions and Benefits;2019.0;2019.0;actual;2695.0;53639567170.41
2020;128;BGN01;1001;2019-2020;Pensions and Benefits;2020.0;2020.0;actual;2854.0;56545113473.08
2021;128;BGN01;1001;2020-2021;Pensions and Benefits;2021.0;2021.0;actual;2968.0;61421594723.98
2022;128;BGN01;1001;2021-2022;Pensions and Benefits;2022.0;2022.0;actual;3205.0;62793990287.35
2019;313;BNV01;1002;2018-2019;Statistical Information;2019.0;2019.0;actual;1469.0;139486758.01
2019;313;BNV02;1002;2018-2019;Statistical Information;2019.0;2019.0;actual;1056.0;97677933.05
2019;313;BNV03;1002;2018-2019;Statistical Information;2019.0;2019.0;actual;639.0;66023802.15
2019;313;BNV04;1002;2018-2019;Statistical Information;2019.0;2019.0;actual;1331.0;1845055.01
2020;313;BNV01;1002;2019-2020;Statistical Information;2020.0;2020.0;actual;1296.0;130752821.54
2020;313;BNV02;1002;2019-2020;Statistical Information;2020.0;2020.0;actual;998.0;94183795.08
2020;313;BNV03;1002;2019-2020;Statistical Information;2020.0;2020.0;actual;698.0;69558056.85
2020;313;BNV04;1002;2019-2020;Statistical Information;2020.0;2020.0;actual;1308.0;13946480.37
2021;313;BNV01;1002;2020-2021;Statistical Information;2021.0;2021.0;actual;1296.0;126630842.31
2021;313;BNV02;1002;2020-2021;Statistical Information;2021.0;2021.0;actual;893.0;90528364.54
2021;313;BNV03;1002;2020-2021;Statistical Information;2021.0;2021.0;actual;1079.0;129679698.49
2021;313;BNV04;1002;2020-2021;Statistical Information;2021.0;2021.0;actual;1340.0;14714582.23
2022;313;BNV01;1002;2021-2022;Statistical Information;2022.0;2022.0;actual;1466.0;148723023.64
2022;313;BNV02;1002;2021-2022;Statistical Information;2022.0;2022.0;actual;1265.0;116191123.08
2022;313;BNV03;1002;2021-2022;Statistical Information;2022.0;2022.0;actual;1557.0;345577258.56
2022;313;BNV04;1002;2021-2022;Statistical Information;2022.0;2022.0;actual;1542.0;15289882.84
2023;128;BGO01;1003;2022-2023;Learning, Skills Development and Employment;2023.0;2023.0;actual;13466.0;-345998297.97
2023;128;BGO01;1003;2022-2023;Learning, Skills Development and Employment;2024.0;2024.0;planned;12538.0;137697944.0
2023;128;BGO01;1003;2022-2023;Learning, Skills Development and Employment;2025.0;2025.0;planned;11487.0;126137558.0
2023;128;BGO01;1003;2022-2023;Learning, Skills Development and Employment;2025.0;2026.0;planned;7255.0;87842482.0
2023;128;BGO01;1003;2022-2023;Learning, Skills Development and Employment;2025.0;2027.0;planned;7229.0;87575757.0
2019;128;BGO01;1003;2018-2019;Learning, Skills Development and Employment;2019.0;2019.0;actual;8277.0;76028850.87
2020;128;BGO01;1003;2019-2020;Learning, Skills Development and Employment;2020.0;2020.0;actual;8462.0;4836775373.32
2021;128;BGO01;1003;2020-2021;Learning, Skills Development and Employment;2021.0;2021.0;actual;11246.0;27472297028.41
2022;128;BGO01;1003;2021-2022;Learning, Skills Development and Employment;2022.0;2022.0;actual;12524.0;163565971.93
2023;125;BTG03;1004;2022-2023;Aquatic Ecosystems;2023.0;2023.0;actual;231.0;56284022.91
2023;125;BTG03;1004;2022-2023;Aquatic Ecosystems;2024.0;2024.0;planned;147.0;31717501.0
2023;125;BTG03;1004;2022-2023;Aquatic Ecosystems;2025.0;2025.0;planned;205.0;52289337.0
2023;125;BTG03;1004;2022-2023;Aquatic Ecosystems;2025.0;2026.0;planned;205.0;52660908.0
2023;125;BTG03;1004;2022-2023;Aquatic Ecosystems;2025.0;2027.0;planned;76.0;16735196.0
2019;125;BTG03;1004;2018-2019;Aquatic Ecosystems;2019.0;2019.0;actual;138.0;31928869.92
2020;125;BTG03;1004;2019-2020;Aquatic Ecosystems;2020.0;2020.0;actual;160.0;37267846.51
2021;125;BTG03;1004;2020-2021;Aquatic Ecosystems;2021.0;2021.0;actual;176.0;42897001.97
2022;125;BTG03;1004;2021-2022;Aquatic Ecosystems;2022.0;2022.0;actual;188.0;49176745.01
2023;128;BGM06;1005;2022-2023;Social Development;2023.0;2023.0;actual;3.0;913142.17
2023;128;BGM06;1005;2022-2023;Social Development;2024.0;2024.0;planned;11.0;11260108.0
2023;128;BGM06;1005;2022-2023;Social Development;2025.0;2025.0;planned;11.0;11268743.0
2023;128;BGM06;1005;2022-2023;Social Development;2025.0;2026.0;planned;11.0;2034799.0
2023;128;BGM06;1005;2022-2023;Social Development;2025.0;2027.0;planned;11.0;2034430.0
2019;128;BGM06;1005;2018-2019;Social Development;2019.0;2019.0;actual;1.0;338118.11
2020;128;BGM06;1005;2019-2020;Social Development;2020.0;2020.0;actual;1.0;499479.18
2021;128;BGM06;1005;2020-2021;Social Development;2021.0;2021.0;actual;1.0;520607.67
2022;128;BGM06;1005;2021-2022;Social Development;2022.0;2022.0;actual;2.0;607238.85
2023;125;BTF01;1006;2022-2023;Fisheries;2023.0;2023.0;actual;622.0;107685186.36
2023;125;BTF01;1006;2022-2023;Fisheries;2024.0;2024.0;planned;566.0;132206523.0
2023;125;BTF01;1006;2022-2023;Fisheries;2025.0;2025.0;planned;564.0;107504282.0
2023;125;BTF01;1006;2022-2023;Fisheries;2025.0;2026.0;planned;557.0;104858918.0
2023;125;BTF01;1006;2022-2023;Fisheries;2025.0;2027.0;planned;439.0;58971835.0
2019;125;BTF01;1006;2018-2019;Fisheries;2019.0;2019.0;actual;446.0;75559144.94
2020;125;BTF01;1006;2019-2020;Fisheries;2020.0;2020.0;actual;498.0;103176344.14
2021;125;BTF01;1006;2020-2021;Fisheries;2021.0;2021.0;actual;521.0;217921344.75
2022;125;BTF01;1006;2021-2022;Fisheries;2022.0;2022.0;actual;629.0;135223230.36
2023;128;BGO20;1007;2022-2023;Learning, Skills Development and Employment;2023.0;2023.0;actual;78.0;63429736.13
2019;128;BGO20;1007;2018-2019;Learning, Skills Development and Employment;2019.0;2019.0;actual;62.0;96781066.87
2020;128;BGO20;1007;2019-2020;Learning, Skills Development and Employment;2020.0;2020.0;actual;63.0;98345445.64
2021;128;BGO20;1007;2020-2021;Learning, Skills Development and Employment;2021.0;2021.0;actual;56.0;65092085.14
2022;128;BGO20;1007;2021-2022;Learning, Skills Development and Employment;2022.0;2022.0;actual;86.0;94338544.12
2023;125;BTG01;1008;2022-2023;Aquatic Ecosystems;2023.0;2023.0;actual;584.0;94409264.88
2023;125;BTG01;1008;2022-2023;Aquatic Ecosystems;2024.0;2024.0;planned;411.0;91867157.0
2023;125;BTG01;1008;2022-2023;Aquatic Ecosystems;2025.0;2025.0;planned;650.0;132256447.0
2023;125;BTG01;1008;2022-2023;Aquatic Ecosystems;2025.0;2026.0;planned;380.0;71453704.0
2023;125;BTG01;1008;2022-2023;Aquatic Ecosystems;2025.0;2027.0;planned;361.0;59789207.0
2019;125;BTG01;1008;2018-2019;Aquatic Ecosystems;2019.0;2019.0;actual;348.0;61056490.26
