fiscal_yr;service_id;online_interaction_point;activation;online_interaction_point_sort
2022-2023;1;registration;N;1
2022-2023;1;authentication;N;2
2022-2023;1;application;N;3
2022-2023;1;decision;N;4
2022-2023;1;issuance;N;5
2022-2023;1;feedback;N;6
2022-2023;10;registration;N;1
2022-2023;10;authentication;N;2
2022-2023;10;application;N;3
2022-2023;10;decision;N;4
2022-2023;10;issuance;N;5
2022-2023;10;feedback;N;6
2018-2019;1000;registration;;1
2018-2019;1000;authentication;;2
2018-2019;1000;application;;3
2018-2019;1000;decision;;4
2018-2019;1000;issuance;;5
2018-2019;1000;feedback;;6
2022-2023;1001;registration;Y;1
2022-2023;1001;authentication;Y;2
2022-2023;1001;application;Y;3
2022-2023;1001;decision;Y;4
2022-2023;1001;issuance;Y;5
2022-2023;1001;feedback;Y;6
2022-2023;1002;registration;Y;1
2022-2023;1002;authentication;Y;2
2022-2023;1002;application;Y;3
2022-2023;1002;decision;Y;4
2022-2023;1002;issuance;;5
2022-2023;1002;feedback;;6
2022-2023;1003;registration;Y;1
2022-2023;1003;authentication;Y;2
2022-2023;1003;application;Y;3
2022-2023;1003;decision;Y;4
2022-2023;1003;issuance;Y;5
2022-2023;1003;feedback;Y;6
2022-2023;1004;registration;N;1
2022-2023;1004;authentication;N;2
2022-2023;1004;application;N;3
2022-2023;1004;decision;N;4
2022-2023;1004;issuance;N;5
2022-2023;1004;feedback;N;6
2022-2023;1005;registration;;1
2022-2023;1005;authentication;Y;2
2022-2023;1005;application;Y;3
2022-2023;1005;decision;N;4
2022-2023;1005;issuance;N;5
2022-2023;1005;feedback;Y;6
2022-2023;1006;registration;Y;1
2022-2023;1006;authentication;Y;2
2022-2023;1006;application;Y;3
2022-2023;1006;decision;Y;4
2022-2023;1006;issuance;Y;5
2022-2023;1006;feedback;N;6
2022-2023;1007;registration;;1
2022-2023;1007;authentication;Y;2
2022-2023;1007;application;Y;3
2022-2023;1007;decision;N;4
2022-2023;1007;issuance;N;5
2022-2023;1007;feedback;Y;6
2022-2023;1008;registration;N;1
2022-2023;1008;authentication;N;2
2022-2023;1008;application;N;3
2022-2023;1008;decision;N;4
2022-2023;1008;issuance;N;5
2022-2023;1008;feedback;N;6
2022-2023;1009;registration;;1
2022-2023;1009;authentication;;2
2022-2023;1009;application;;3
2022-2023;1009;decision;;4
2022-2023;1009;issuance;;5
2022-2023;1009;feedback;;6
2022-2023;1010;registration;N;1
2022-2023;1010;authentication;N;2
2022-2023;1010;application;N;3
2022-2023;1010;decision;N;4
2022-2023;1010;issuance;N;5
2022-2023;1010;feedback;N;6
2022-2023;1011;registration;;1
2022-2023;1011;authentication;;2
2022-2023;1011;application;;3
2022-2023;1011;decision;;4
2022-2023;1011;issuance;;5
2022-2023;1011;feedback;;6
2022-2023;1012;registration;;1
2022-2023;1012;authentication;Y;2
2022-2023;1012;application;;3
2022-2023;1012;decision;;4
2022-2023;1012;issuance;;5
2022-2023;1012;feedback;Y;6
2022-2023;1013;registration;;1
2022-2023;1013;authentication;;2
2022-2023;1013;application;;3
2022-2023;1013;decision;;4
2022-2023;1013;issuance;;5
2022-2023;1013;feedback;;6
2018-2019;1014;registration;;1
2018-2019;1014;authentication;;2
2018-2019;1014;application;;3
2018-2019;1014;decision;;4
2018-2019;1014;issuance;;5
2018-2019;1014;feedback;;6
2022-2023;1015;registration;;1
2022-2023;1015;authentication;;2
2022-2023;1015;application;;3
2022-2023;1015;decision;;4
2022-2023;1015;issuance;;5
2022-2023;1015;feedback;;6
2022-2023;1016;registration;N;1
2022-2023;1016;authentication;N;2
2022-2023;1016;application;N;3
2022-2023;1016;decision;N;4
2022-2023;1016;issuance;N;5
2022-2023;1016;feedback;N;6
2022-2023;1017;registration;N;1
2022-2023;1017;authentication;N;2
2022-2023;1017;application;N;3
2022-2023;1017;decision;N;4
2022-2023;1017;issuance;N;5
2022-2023;1017;feedback;N;6
2022-2023;1018;registration;N;1
2022-2023;1018;authentication;N;2
2022-2023;1018;application;N;3
2022-2023;1018;decision;N;4
2022-2023;1018;issuance;N;5
2022-2023;1018;feedback;N;6
2022-2023;1019;registration;;1
2022-2023;1019;authentication;;2
2022-2023;1019;application;;3
2022-2023;1019;decision;;4
2022-2023;1019;issuance;;5
2022-2023;1019;feedback;Y;6
2022-2023;1020;registration;N;1
2022-2023;1020;authentication;N;2
2022-2023;1020;application;N;3
2022-2023;1020;decision;N;4
2022-2023;1020;issuance;N;5
2022-2023;1020;feedback;N;6
2022-2023;1021;registration;N;1
2022-2023;1021;authentication;N;2
2022-2023;1021;application;N;3
2022-2023;1021;decision;N;4
2022-2023;1021;issuance;N;5
2022-2023;1021;feedback;N;6
2022-2023;1022;registration;N;1
2022-2023;1022;authentication;N;2
2022-2023;1022;application;N;3
2022-2023;1022;decision;N;4
2022-2023;1022;issuance;N;5
2022-2023;1022;feedback;N;6
2022-2023;1023;registration;;1
2022-2023;1023;authentication;;2
2022-2023;1023;application;;3
2022-2023;1023;decision;;4
2022-2023;1023;issuance;;5
2022-2023;1023;feedback;N;6
2022-2023;1024;registration;N;1
2022-2023;1024;authentication;N;2
2022-2023;1024;application;N;3
2022-2023;1024;decision;N;4
2022-2023;1024;issuance;N;5
2022-2023;1024;feedback;N;6
2022-2023;1025;registration;N;1
2022-2023;1025;authentication;N;2
2022-2023;1025;application;N;3
2022-2023;1025;decision;N;4
2022-2023;1025;issuance;N;5
2022-2023;1025;feedback;N;6
2022-2023;1026;registration;Y;1
2022-2023;1026;authentication;Y;2
2022-2023;1026;application;Y;3
2022-2023;1026;decision;Y;4
2022-2023;1026;issuance;Y;5
2022-2023;1026;feedback;Y;6
2022-2023;1027;registration;Y;1
2022-2023;1027;authentication;Y;2
2022-2023;1027;application;Y;3
2022-2023;1027;decision;Y;4
2022-2023;1027;issuance;Y;5
2022-2023;1027;feedback;N;6
2022-2023;1028;registration;N;1
2022-2023;1028;authentication;N;2
2022-2023;1028;application;N;3
2022-2023;1028;decision;N;4
2022-2023;1028;issuance;N;5
2022-2023;1028;feedback;N;6
2022-2023;1029;registration;N;1
2022-2023;1029;authentication;N;2
2022-2023;1029;application;N;3
2022-2023;1029;decision;N;4
2022-2023;1029;issuance;N;5
2022-2023;1029;feedback;N;6
2022-2023;1030;registration;N;1
2022-2023;1030;authentication;N;2
2022-2023;1030;application;N;3
2022-2023;1030;decision;N;4
2022-2023;1030;issuance;N;5
2022-2023;1030;feedback;N;6
2019-2020;1031;registration;;1
2019-2020;1031;authentication;;2
2019-2020;1031;application;;3
2019-2020;1031;decision;;4
2019-2020;1031;issuance;;5
2019-2020;1031;feedback;;6
2022-2023;1032;registration;Y;1
2022-2023;1032;authentication;Y;2
2022-2023;1032;application;Y;3
2022-2023;1032;decision;Y;4
2022-2023;1032;issuance;Y;5
2022-2023;1032;feedback;N;6
2022-2023;1033;registration;N;1
2022-2023;1033;authentication;N;2
2022-2023;1033;application;N;3
2022-2023;1033;decision;N;4
2022-2023;1033;issuance;N;5
2022-2023;1033;feedback;N;6
2022-2023;1034;registration;N;1
2022-2023;1034;authentication;N;2
2022-2023;1034;application;N;3
2022-2023;1034;decision;N;4
2022-2023;1034;issuance;N;5
2022-2023;1034;feedback;N;6
2022-2023;1035;registration;N;1
2022-2023;1035;authentication;N;2
2022-2023;1035;application;N;3
2022-2023;1035;decision;N;4
2022-2023;1035;issuance;N;5
2022-2023;1035;feedback;N;6
2022-2023;1036;registration;N;1
2022-2023;1036;authentication;N;2
2022-2023;1036;application;N;3
2022-2023;1036;decision;N;4
2022-2023;1036;issuance;N;5
2022-2023;1036;feedback;N;6
2022-2023;1037;registration;N;1
2022-2023;1037;authentication;N;2
2022-2023;1037;application;N;3
2022-2023;1037;decision;N;4
2022-2023;1037;issuance;N;5
2022-2023;1037;feedback;N;6
2022-2023;1038;registration;;1
2022-2023;1038;authentication;;2
2022-2023;1038;application;;3
2022-2023;1038;decision;;4
2022-2023;1038;issuance;;5
2022-2023;1038;feedback;;6
2022-2023;1039;registration;N;1
2022-2023;1039;authentication;N;2
2022-2023;1039;application;N;3
2022-2023;1039;decision;N;4
2022-2023;1039;issuance;N;5
2022-2023;1039;feedback;N;6
2022-2023;1040;registration;N;1
2022-2023;1040;authentication;N;2
2022-2023;1040;application;N;3
2022-2023;1040;decision;N;4
2022-2023;1040;issuance;N;5
2022-2023;1040;feedback;N;6
2022-2023;1041;registration;N;1
2022-2023;1041;authentication;N;2
2022-2023;1041;application;N;3
2022-2023;1041;decision;N;4
2022-2023;1041;issuance;N;5
2022-2023;1041;feedback;N;6
2022-2023;1042;registration;Y;1
2022-2023;1042;authentication;N;2
2022-2023;1042;application;Y;3
2022-2023;1042;decision;N;4
2022-2023;1042;issuance;N;5
2022-2023;1042;feedback;N;6
2022-2023;1043;registration;N;1
2022-2023;1043;authentication;N;2
2022-2023;1043;application;N;3
2022-2023;1043;decision;N;4
2022-2023;1043;issuance;N;5
2022-2023;1043;feedback;N;6
2022-2023;1044;registration;N;1
2022-2023;1044;authentication;N;2
2022-2023;1044;application;N;3
2022-2023;1044;decision;N;4
2022-2023;1044;issuance;N;5
2022-2023;1044;feedback;N;6
2022-2023;1045;registration;N;1
2022-2023;1045;authentication;N;2
2022-2023;1045;application;N;3
2022-2023;1045;decision;N;4
2022-2023;1045;issuance;N;5
2022-2023;1045;feedback;N;6
2022-2023;1046;registration;;1
2022-2023;1046;authentication;;2
2022-2023;1046;application;Y;3
2022-2023;1046;decision;;4
2022-2023;1046;issuance;Y;5
2022-2023;1046;feedback;Y;6
2022-2023;1047;registration;;1
2022-2023;1047;authentication;;2
2022-2023;1047;application;Y;3
2022-2023;1047;decision;;4
2022-2023;1047;issuance;Y;5
2022-2023;1047;feedback;Y;6
2022-2023;1048;registration;;1
2022-2023;1048;authentication;;2
2022-2023;1048;application;;3
2022-2023;1048;decision;;4
2022-2023;1048;issuance;;5
2022-2023;1048;feedback;;6
2022-2023;1050;registration;;1
2022-2023;1050;authentication;;2
2022-2023;1050;application;Y;3
2022-2023;1050;decision;;4
2022-2023;1050;issuance;N;5
2022-2023;1050;feedback;Y;6
2018-2019;1051;registration;;1
2018-2019;1051;authentication;;2
2018-2019;1051;application;Y;3
2018-2019;1051;decision;Y;4
2018-2019;1051;issuance;;5
2018-2019;1051;feedback;;6
2020-2021;1052;registration;Y;1
2020-2021;1052;authentication;N;2
2020-2021;1052;application;Y;3
2020-2021;1052;decision;N;4
2020-2021;1052;issuance;N;5
2020-2021;1052;feedback;N;6
2019-2020;1053;registration;;1
2019-2020;1053;authentication;;2
2019-2020;1053;application;;3
2019-2020;1053;decision;;4
2019-2020;1053;issuance;;5
2019-2020;1053;feedback;;6
2022-2023;1054;registration;;1
2022-2023;1054;authentication;;2
2022-2023;1054;application;;3
2022-2023;1054;decision;;4
2022-2023;1054;issuance;;5
2022-2023;1054;feedback;;6
2022-2023;1055;registration;;1
2022-2023;1055;authentication;;2
2022-2023;1055;application;Y;3
2022-2023;1055;decision;Y;4
2022-2023;1055;issuance;;5
2022-2023;1055;feedback;;6
2019-2020;1056;registration;Y;1
2019-2020;1056;authentication;;2
2019-2020;1056;application;;3
2019-2020;1056;decision;;4
2019-2020;1056;issuance;;5
2019-2020;1056;feedback;;6
2020-2021;1057;registration;;1
2020-2021;1057;authentication;;2
2020-2021;1057;application;;3
2020-2021;1057;decision;;4
2020-2021;1057;issuance;;5
2020-2021;1057;feedback;;6
2020-2021;1058;registration;;1
2020-2021;1058;authentication;;2
2020-2021;1058;application;;3
2020-2021;1058;decision;;4
2020-2021;1058;issuance;;5
2020-2021;1058;feedback;;6
2022-2023;1059;registration;N;1
2022-2023;1059;authentication;;2
2022-2023;1059;application;;3
2022-2023;1059;decision;Y;4
2022-2023;1059;issuance;N;5
2022-2023;1059;feedback;;6
2022-2023;1060;registration;N;1
2022-2023;1060;authentication;;2
2022-2023;1060;application;;3
2022-2023;1060;decision;Y;4
2022-2023;1060;issuance;Y;5
2022-2023;1060;feedback;;6
2022-2023;1062;registration;;1
2022-2023;1062;authentication;;2
2022-2023;1062;application;;3
2022-2023;1062;decision;N;4
2022-2023;1062;issuance;;5
2022-2023;1062;feedback;N;6
2022-2023;1064;registration;;1
2022-2023;1064;authentication;;2
2022-2023;1064;application;Y;3
2022-2023;1064;decision;;4
2022-2023;1064;issuance;;5
2022-2023;1064;feedback;Y;6
2022-2023;1065;registration;Y;1
2022-2023;1065;authentication;Y;2
2022-2023;1065;application;Y;3
2022-2023;1065;decision;N;4
