fiscal_yr;service_id;channel;volume
2018-2019;1000;telephone;0.0
2018-2019;1001;telephone;0.0
2019-2020;1001;telephone;0.0
2020-2021;1001;telephone;0.0
2022-2023;1002;telephone;0.0
2018-2019;1002;telephone;0.0
2019-2020;1002;telephone;0.0
2020-2021;1002;telephone;0.0
2021-2022;1002;telephone;0.0
2018-2019;1003;telephone;0.0
2019-2020;1003;telephone;0.0
2020-2021;1003;telephone;0.0
2018-2019;1004;telephone;0.0
2019-2020;1004;telephone;0.0
2020-2021;1004;telephone;0.0
2021-2022;1004;telephone;0.0
2018-2019;1005;telephone;0.0
2019-2020;1005;telephone;0.0
2020-2021;1005;telephone;0.0
2018-2019;1006;telephone;0.0
2019-2020;1006;telephone;0.0
2020-2021;1006;telephone;0.0
2021-2022;1006;telephone;0.0
2018-2019;1007;telephone;0.0
2019-2020;1007;telephone;0.0
2020-2021;1007;telephone;0.0
2018-2019;1008;telephone;0.0
2019-2020;1008;telephone;0.0
2020-2021;1008;telephone;0.0
2021-2022;1008;telephone;0.0
2018-2019;1009;telephone;0.0
2019-2020;1009;telephone;0.0
2020-2021;1009;telephone;0.0
2021-2022;1009;telephone;0.0
2018-2019;1010;telephone;0.0
2019-2020;1010;telephone;0.0
2020-2021;1010;telephone;0.0
2021-2022;1010;telephone;0.0
2018-2019;1011;telephone;0.0
2019-2020;1011;telephone;0.0
2020-2021;1011;telephone;0.0
2021-2022;1011;telephone;0.0
2018-2019;1012;telephone;0.0
2019-2020;1012;telephone;0.0
2020-2021;1012;telephone;0.0
2018-2019;1013;telephone;0.0
2019-2020;1013;telephone;0.0
2020-2021;1013;telephone;0.0
2021-2022;1013;telephone;0.0
2018-2019;1014;telephone;0.0
2018-2019;1015;telephone;0.0
2019-2020;1015;telephone;0.0
2020-2021;1015;telephone;0.0
2021-2022;1015;telephone;0.0
2018-2019;1016;telephone;0.0
2019-2020;1016;telephone;0.0
2020-2021;1016;telephone;0.0
2021-2022;1016;telephone;0.0
2018-2019;1017;telephone;0.0
2019-2020;1017;telephone;0.0
2020-2021;1017;telephone;0.0
2021-2022;1017;telephone;0.0
2018-2019;1018;telephone;0.0
2019-2020;1018;telephone;0.0
2020-2021;1018;telephone;0.0
2021-2022;1018;telephone;0.0
2022-2023;1019;telephone;40.0
2018-2019;1019;telephone;0.0
2019-2020;1019;telephone;0.0
2020-2021;1019;telephone;0.0
2021-2022;1019;telephone;40.0
2018-2019;1020;telephone;0.0
2019-2020;1020;telephone;0.0
2020-2021;1020;telephone;0.0
2018-2019;1021;telephone;0.0
2019-2020;1021;telephone;0.0
2020-2021;1021;telephone;0.0
2021-2022;1021;telephone;0.0
2018-2019;1022;telephone;0.0
2019-2020;1022;telephone;0.0
2020-2021;1022;telephone;0.0
2021-2022;1022;telephone;0.0
2018-2019;1023;telephone;0.0
2019-2020;1023;telephone;0.0
2020-2021;1023;telephone;0.0
2018-2019;1024;telephone;0.0
2019-2020;1024;telephone;0.0
2020-2021;1024;telephone;0.0
2021-2022;1024;telephone;0.0
2018-2019;1025;telephone;0.0
2019-2020;1025;telephone;0.0
2020-2021;1025;telephone;0.0
2021-2022;1025;telephone;0.0
2018-2019;1026;telephone;0.0
2019-2020;1026;telephone;0.0
2020-2021;1026;telephone;0.0
2021-2022;1026;telephone;0.0
2018-2019;1027;telephone;0.0
2019-2020;1027;telephone;0.0
2020-2021;1027;telephone;0.0
2021-2022;1027;telephone;0.0
2018-2019;1028;telephone;0.0
2019-2020;1028;telephone;0.0
2020-2021;1028;telephone;0.0
2021-2022;1028;telephone;0.0
2018-2019;1029;telephone;0.0
2019-2020;1029;telephone;0.0
2020-2021;1029;telephone;0.0
2021-2022;1029;telephone;0.0
2018-2019;1030;telephone;0.0
2019-2020;1030;telephone;0.0
2020-2021;1030;telephone;0.0
2021-2022;1030;telephone;0.0
2018-2019;1031;telephone;0.0
2019-2020;1031;telephone;0.0
2018-2019;1032;telephone;0.0
2019-2020;1032;telephone;0.0
2020-2021;1032;telephone;0.0
2021-2022;1032;telephone;0.0
2018-2019;1033;telephone;0.0
2019-2020;1033;telephone;0.0
2020-2021;1033;telephone;0.0
2021-2022;1033;telephone;0.0
2018-2019;1034;telephone;0.0
2019-2020;1034;telephone;0.0
2020-2021;1034;telephone;0.0
2021-2022;1034;telephone;0.0
2018-2019;1035;telephone;0.0
2019-2020;1035;telephone;0.0
2020-2021;1035;telephone;0.0
2021-2022;1035;telephone;0.0
2018-2019;1036;telephone;0.0
2019-2020;1036;telephone;0.0
2020-2021;1036;telephone;0.0
2021-2022;1036;telephone;0.0
2018-2019;1037;telephone;0.0
2019-2020;1037;telephone;0.0
2020-2021;1037;telephone;0.0
2021-2022;1037;telephone;0.0
2018-2019;1038;telephone;0.0
2019-2020;1038;telephone;0.0
2020-2021;1038;telephone;0.0
2021-2022;1038;telephone;0.0
2018-2019;1039;telephone;0.0
2019-2020;1039;telephone;0.0
2020-2021;1039;telephone;0.0
2021-2022;1039;telephone;0.0
2018-2019;1040;telephone;0.0
2019-2020;1040;telephone;0.0
2020-2021;1040;telephone;0.0
2021-2022;1040;telephone;0.0
2018-2019;1041;telephone;0.0
2019-2020;1041;telephone;0.0
2020-2021;1041;telephone;0.0
2021-2022;1041;telephone;0.0
2018-2019;1042;telephone;0.0
2019-2020;1042;telephone;0.0
2020-2021;1042;telephone;0.0
2018-2019;1043;telephone;0.0
2019-2020;1043;telephone;0.0
2020-2021;1043;telephone;0.0
2021-2022;1043;telephone;0.0
2018-2019;1044;telephone;0.0
2019-2020;1044;telephone;0.0
2020-2021;1044;telephone;0.0
2021-2022;1044;telephone;0.0
2018-2019;1045;telephone;0.0
2019-2020;1045;telephone;0.0
2020-2021;1045;telephone;0.0
2021-2022;1045;telephone;0.0
2022-2023;1046;telephone;0.0
2018-2019;1046;telephone;0.0
2019-2020;1046;telephone;0.0
2020-2021;1046;telephone;0.0
2021-2022;1046;telephone;0.0
2022-2023;1047;telephone;0.0
2018-2019;1047;telephone;0.0
2019-2020;1047;telephone;0.0
2020-2021;1047;telephone;0.0
2021-2022;1047;telephone;0.0
2018-2019;1048;telephone;0.0
2019-2020;1048;telephone;0.0
2020-2021;1048;telephone;0.0
2018-2019;1050;telephone;0.0
2019-2020;1050;telephone;0.0
2020-2021;1050;telephone;0.0
2018-2019;1051;telephone;0.0
2018-2019;1052;telephone;0.0
2019-2020;1052;telephone;0.0
2020-2021;1052;telephone;0.0
2018-2019;1053;telephone;0.0
2019-2020;1053;telephone;0.0
2018-2019;1054;telephone;0.0
2019-2020;1054;telephone;0.0
2020-2021;1054;telephone;0.0
2018-2019;1055;telephone;0.0
2019-2020;1055;telephone;0.0
2020-2021;1055;telephone;0.0
2018-2019;1056;telephone;0.0
2019-2020;1056;telephone;0.0
2018-2019;1057;telephone;0.0
2019-2020;1057;telephone;0.0
2020-2021;1057;telephone;0.0
2018-2019;1058;telephone;0.0
2019-2020;1058;telephone;0.0
2020-2021;1058;telephone;0.0
2018-2019;1059;telephone;0.0
2019-2020;1059;telephone;0.0
2020-2021;1059;telephone;0.0
2018-2019;1060;telephone;0.0
2019-2020;1060;telephone;0.0
2020-2021;1060;telephone;0.0
2018-2019;1062;telephone;0.0
2019-2020;1062;telephone;0.0
2020-2021;1062;telephone;0.0
2018-2019;1064;telephone;0.0
2019-2020;1064;telephone;0.0
2020-2021;1064;telephone;0.0
